"词语" "次数"
"了" 215
"的" 211
"我" 158
"不" 129
"是" 127
"来" 96
"也" 92
"他" 86
"说" 86
"道" 84
"你" 80
"人" 72
"又" 68
"去" 64
"这" 64
"着" 60
"凤姐" 59
"有" 57
"就" 44
"只" 43
"在" 42
"因" 39
"都" 37
"要" 34
"一" 33
"们" 33
"太太" 33
"得" 33
"便" 32
"事" 31
"问" 31
"笑" 30
"见" 30
"东西" 29
"丫头" 28
"看" 28
"等" 28
"倒" 27
"到" 26
"那" 26
"你们" 25
"宝玉" 25
"带" 24
"王夫人" 24
"他们" 23
"好" 23
"探春" 23
"没" 23
"个" 22
"若" 22
"些" 21
"什么" 21
"儿" 21
"听" 21
"如今" 21
"知道" 21
"一个" 20
"搜" 20
"王善保家的" 20
"谁" 20
"这个" 20
"之" 19
"平儿" 19
"惜春" 19
"还" 19
"且" 18
"出" 18
"和" 18
"大" 18
"姑娘" 18
"拿" 18
"老太太" 18
"上" 17
"作" 17
"再" 17
"叫" 17
"才" 17
"自" 17
"从" 16
"内" 16
"可" 16
"园" 16
"心" 16
"敢" 16
"罢" 16
"里" 16
"别" 15
"我们" 15
"话" 15
"起" 15
"这样" 15
"与" 14
"家" 14
"忙" 14
"房" 14
"晴雯" 14
"走" 14
"连" 14
"下" 13
"尤氏" 13
"并" 13
"想" 13
"不知" 12
"中" 12
"呢" 12
"子" 12
"常" 12
"所以" 12
"抄" 12
"自然" 12
"该" 12
"这些" 12
"众人" 11
"先" 11
"命" 11
"比" 11
"翻" 11
"过" 11
"遂" 11
"不能" 10
"入画" 10
"出来" 10
"周瑞家的" 10
"奶奶" 10
"将" 10
"年轻" 10
"检" 10
"给" 10
"起来" 10
"那里" 10
"丫鬟" 9
"出去" 9
"原" 9
"回" 9
"大家" 9
"小丫头" 9
"往" 9
"打" 9
"无" 9
"既" 9
"时" 9
"正" 9
"竟" 9
"自己" 9
"送" 9
"不过" 8
"为" 8
"住" 8
"几个" 8
"凤" 8
"多" 8
"如此" 8
"必" 8
"怎么" 8
"意" 8
"把" 8
"请" 8
"这话" 8
"今" 7
"今日" 7
"众" 7
"但" 7
"冷笑" 7
"向" 7
"如何" 7
"姊妹" 7
"已" 7
"开" 7
"怕" 7
"成" 7
"打开" 7
"日" 7
"更" 7
"查" 7
"此" 7
"死" 7
"物" 7
"王家的" 7
"皆" 7
"箱子" 7
"糊涂" 7
"素日" 7
"这里" 7
"进来" 7
"一时" 6
"不许" 6
"两个" 6
"二" 6
"别人" 6
"别的" 6
"劝" 6
"反" 6
"只得" 6
"司棋" 6
"吃" 6
"后" 6
"听说" 6
"咱们" 6
"喝" 6
"嘴" 6
"回过" 6
"园内" 6
"奴才" 6
"寻" 6
"小姐" 6
"当" 6
"待" 6
"忽" 6
"故" 6
"明日" 6
"果然" 6
"气" 6
"没有" 6
"真" 6
"睡" 6
"累" 6
"肯" 6
"虽" 6
"袭人" 6
"议论" 6
"语" 6
"身上" 6
"进" 6
"那边" 6
"陪" 6
"香" 6
"骂" 6
"一声" 5
"一头" 5
"一番" 5
"不但" 5
"传递" 5
"侍" 5
"保" 5
"借" 5
"偷" 5
"况且" 5
"凡" 5
"前" 5
"却" 5
"只见" 5
"可知" 5
"同" 5
"吩咐" 5
"哥哥" 5
"哭" 5
"坐" 5
"好歹" 5
"姐儿" 5
"小" 5
"性" 5
"恼" 5
"或" 5
"收" 5
"方" 5
"早" 5
"明儿" 5
"明白" 5
"未" 5
"焉" 5
"理" 5
"甚" 5
"生" 5
"病" 5
"省" 5
"知" 5
"答应" 5
"算" 5
"细" 5
"老" 5
"虽然" 5
"要紧" 5
"谁知" 5
"象" 5
"赎" 5
"越" 5
"过去" 5
"迎春" 5
"还有" 5
"邢夫人" 5
"银子" 5
"鸳鸯" 5
"一件" 4
"一句" 4
"不必" 4
"不然" 4
"书" 4
"二百" 4
"伏" 4
"会" 4
"使" 4
"其" 4
"别处" 4
"十分" 4
"口" 4
"可以" 4
"名" 4
"告" 4
"唤" 4
"处" 4
"外人" 4
"天天" 4
"妹子" 4
"娘" 4
"嫂子" 4
"字" 4
"对" 4
"屋里" 4
"帖" 4
"很" 4
"快" 4
"怒" 4
"所有" 4
"报" 4
"拣" 4
"放" 4
"是非" 4
"曾" 4
"有人" 4
"柳" 4
"生事" 4
"生气" 4
"用" 4
"白" 4
"直" 4
"私自" 4
"笨" 4
"管" 4
"箱" 4
"纵" 4
"者" 4
"能" 4
"脸" 4
"觉" 4
"许" 4
"访" 4
"说道" 4
"赏" 4
"跟" 4
"跪下" 4
"还要" 4
"错" 4
"门" 4
"闹" 4
"麝月" 4
"一一" 3
"一回" 3
"一处" 3
"一遍" 3
"一面" 3
"一齐" 3
"不依" 3
"不曾" 3
"丢" 3
"主子" 3
"乐" 3
"了得" 3
"于是" 3
"交给" 3
"亲自" 3
"以为" 3
"以后" 3
"传送" 3
"何况" 3
"何必" 3
"何等" 3
"余" 3
"倒好" 3
"倘或" 3
"入" 3
"关" 3
"千万" 3
"千金" 3
"半" 3
"半日" 3
"单" 3
"发" 3
"受" 3
"古人" 3
"只怕" 3
"只管" 3
"叹" 3
"告诉" 3
"嘻" 3
"因由" 3
"声" 3
"外头" 3
"头" 3
"奉" 3
"女儿" 3
"女孩子" 3
"妆" 3
"妈妈" 3
"妹妹" 3
"姐姐" 3
"姓" 3
"嫌" 3
"家里" 3
"小儿" 3
"岂" 3
"帐" 3
"干" 3
"年纪" 3
"应" 3
"异" 3
"强" 3
"得来" 3
"忘" 3
"怎" 3
"思" 3
"怨" 3
"恐怕" 3
"悟" 3
"慌" 3
"房门" 3
"所" 3
"拉" 3
"挪" 3
"方才" 3
"无故" 3
"暂" 3
"最" 3
"有些" 3
"未了" 3
"杀" 3
"李纨" 3
"样" 3
"正经" 3
"毕" 3
"潘" 3
"现" 3
"看见" 3
"瞧" 3
"短" 3
"私" 3
"立" 3
"细细的" 3
"罪" 3
"老娘" 3
"而" 3
"至" 3
"至此" 3
"药" 3
"藏" 3
"表弟" 3
"袋" 3
"许多" 3
"论" 3
"识" 3
"调唆" 3
"贾琏" 3
"赖" 3
"越发" 3
"趫" 3
"跟前" 3
"迁" 3
"进去" 3
"造" 3
"造化" 3
"那些" 3
"金" 3
"钱" 3
"闲话" 3
"陪房" 3
"随" 3
"难" 3
"革" 3
"领" 3
"饶" 3
"一会" 2
"一则" 2
"一副" 2
"一双" 2
"一场" 2
"一层" 2
"一概" 2
"万" 2
"三" 2
"上次" 2
"下次" 2
"不堪" 2
"不好" 2
"不如" 2
