"词语" "次数"
"了" 204
"的" 112
"不" 95
"之" 95
"是" 92
"道" 86
"他" 79
"也" 78
"宝玉" 70
"我" 67
"人" 63
"有" 63
"又" 62
"这" 54
"说" 50
"去" 48
"来" 45
"为" 40
"便" 37
"就" 37
"一" 36
"听" 33
"着" 33
"而" 33
"只" 32
"好" 31
"兮" 30
"看" 30
"贾政" 30
"得" 29
"你" 28
"笑" 28
"都" 28
"其" 26
"见" 25
"大" 24
"事" 23
"想" 23
"还" 23
"中" 22
"以" 22
"且" 21
"因" 21
"皆" 20
"那" 20
"于" 19
"在" 19
"耶" 19
"前" 18
"王" 18
"若" 18
"个" 17
"丫头" 17
"亦" 17
"众人" 17
"所以" 17
"王夫人" 17
"作" 16
"再" 16
"我们" 16
"至" 16
"虽" 16
"问" 16
"二" 15
"四" 15
"岂" 15
"晴雯" 15
"等" 15
"叫" 14
"可" 14
"如此" 14
"成" 14
"未" 14
"自" 14
"芙蓉" 14
"花" 14
"要" 14
"遂" 14
"里" 14
"些" 13
"众" 13
"出" 13
"命" 13
"园" 13
"如今" 13
"娘" 13
"无" 13
"既" 13
"走" 13
"一句" 12
"上" 12
"乃" 12
"余" 12
"原" 12
"回" 12
"妙" 12
"忙" 12
"时" 12
"谁" 12
"一个" 11
"出去" 11
"到" 11
"多" 11
"恒" 11
"或" 11
"更" 11
"此" 11
"死" 11
"知道" 11
"者" 11
"话" 11
"香" 11
"们" 10
"写" 10
"则" 10
"回来" 10
"小" 10
"心" 10
"念" 10
"房" 10
"月" 10
"林" 10
"玉" 10
"竟" 10
"贾母" 10
"与" 9
"两个" 9
"何" 9
"信" 9
"倒" 9
"后" 9
"将" 9
"尚" 9
"已" 9
"正" 9
"比" 9
"罢" 9
"能" 9
"言" 9
"过" 9
"这样" 9
"进来" 9
"送" 9
"不可" 8
"他们" 8
"先" 8
"出来" 8
"同" 8
"复" 8
"女儿" 8
"字" 8
"小丫头" 8
"带" 8
"悲" 8
"所" 8
"才" 8
"文" 8
"歌" 8
"没" 8
"闻" 8
"须" 8
"不过" 7
"举" 7
"什么" 7
"今日" 7
"从" 7
"兰" 7
"向" 7
"告诉" 7
"大家" 7
"太" 7
"姐姐" 7
"待" 7
"忽" 7
"怕" 7
"意" 7
"散" 7
"毕" 7
"然" 7
"用" 7
"礼" 7
"转" 7
"难" 7
"麝月" 7
"三" 6
"下" 6
"不能" 6
"东西" 6
"今" 6
"儿" 6
"况且" 6
"凤姐" 6
"加" 6
"却" 6
"及" 6
"各" 6
"喜" 6
"处" 6
"女" 6
"如何" 6
"宝" 6
"尽" 6
"底下" 6
"往" 6
"必" 6
"思" 6
"方" 6
"日" 6
"曾" 6
"最" 6
"灵" 6
"生" 6
"真" 6
"知" 6
"神" 6
"空" 6
"行" 6
"请" 6
"贼" 6
"这话" 6
"风流" 6
"一时" 5
"不但" 5
"不足" 5
"乎" 5
"会" 5
"似" 5
"但" 5
"住" 5
"几个" 5
"分" 5
"别" 5
"刻" 5
"反" 5
"另" 5
"司" 5
"叹" 5
"呢" 5
"天" 5
"头" 5
"奇" 5
"如" 5
"姨娘" 5
"娇" 5
"子" 5
"实" 5
"少" 5
"幕" 5
"序" 5
"开" 5
"当日" 5
"忠义" 5
"快" 5
"报" 5
"朝" 5
"极" 5
"每" 5
"深" 5
"物" 5
"犹" 5
"甚" 5
"白" 5
"眼" 5
"瞧" 5
"离" 5
"而且" 5
"芳" 5
"袭人" 5
"解" 5
"起" 5
"起来" 5
"身" 5
"这些" 5
"长" 5
"青州" 5
"题" 5
"题目" 5
"黛玉" 5
"一篇" 4
"一首" 4
"不成" 4
"不知" 4
"业" 4
"之间" 4
"二则" 4
"仍" 4
"以为" 4
"使" 4
"共" 4
"内" 4
"冠" 4
"况" 4
"劝" 4
"千古" 4
"变" 4
"口" 4
"古" 4
"只见" 4
"可以" 4
"合" 4
"和" 4
"喜欢" 4
"喻" 4
"嘴" 4
"备" 4
"姊妹" 4
"始" 4
"学" 4
"宝钗" 4
"将军" 4
"尘" 4
"强" 4
"得罪" 4
"怎么" 4
"恐" 4
"恩" 4
"惊" 4
"愁" 4
"戏" 4
"找" 4
"搬" 4
"故" 4
"早" 4
"曰" 4
"本" 4
"没有" 4
"法" 4
"泣" 4
"点头" 4
"环" 4
"病" 4
"直" 4
"省" 4
"祭" 4
"秋纹" 4
"称" 4
"系" 4
"终" 4
"羡" 4
"翠" 4
"自己" 4
"自然" 4
"色" 4
"艳" 4
"被" 4
"觉" 4
"许多" 4
"诗" 4
"诚" 4
"该" 4
"谁知" 4
"贾环" 4
"赏" 4
"近" 4
"这个" 4
"远" 4
"那里" 4
"配" 4
"金" 4
"针线" 4
"风" 4
"高" 4
"魂" 4
"一位" 3
"一夜" 3
"一样" 3
"一等" 3
"一般" 3
"一面" 3
"一齐" 3
"下去" 3
"不及" 3
"不同" 3
"不尽" 3
"不得" 3
"两" 3
"丫鬟" 3
"之外" 3
"书" 3
"于是" 3
"亲戚" 3
"休" 3
"何必" 3
"佳" 3
"入" 3
"公" 3
"冰" 3
"冷" 3
"减" 3
"几年" 3
"凡" 3
"凤" 3
"列" 3
"别人" 3
"别的" 3
"前日" 3
"功名" 3
"化" 3
"十分" 3
"半" 3
"原故" 3
"取" 3
"古人" 3
"句" 3
"只得" 3
"君" 3
"听见" 3
"听说" 3
"呼" 3
"哥" 3
"地" 3
"垂" 3
"城" 3
"外头" 3
"夜" 3
"大了" 3
"太太" 3
"失" 3
"奠" 3
"妈" 3
"姨妈" 3
"姬" 3
"姽" 3
"婳" 3
"嫂子" 3
"完" 3
"家" 3
"家里" 3
"宾" 3
"尔" 3
"履" 3
"山" 3
"工夫" 3
"希" 3
"帐" 3
"常" 3
"年纪" 3
"并" 3
"应该" 3
"度" 3
"得意" 3
"志" 3
"怎" 3
"性" 3
"怯" 3
"恨" 3
"恳切" 3
"恶" 3
"情" 3
"想必" 3
"感" 3
"愿" 3
"战" 3
"手" 3
"折" 3
"拿" 3
"挽" 3
"捧" 3
"搜" 3
"放" 3
"敢" 3
"数" 3
"文武" 3
"断" 3
"明" 3
"星" 3
"显" 3
"有人" 3
"望" 3
"期" 3
"杂" 3
"查" 3
"柳" 3
"桂" 3
"检" 3
"武" 3
"残" 3
"气" 3
"水" 3
"池" 3
"污" 3
"沉重" 3
"泪" 3
"浊" 3
"淘气" 3
"烟" 3
"疼" 3
"矣" 3
"秋" 3
"究竟" 3
"笔" 3
"算" 3
"管" 3
"精" 3
"素日" 3
"红" 3
"约" 3
"纵" 3
"给" 3
"绣" 3
"绦" 3
"续" 3
"美女" 3
"老太太" 3
"老婆子" 3
"自我" 3
"花神" 3
"草" 3
"莲" 3
"虽然" 3
"血" 3
"裤子" 3
"让" 3
"论" 3
"诔" 3
"语" 3
"读书" 3
"贾兰" 3
"跟前" 3
"辞" 3
"过去" 3
"近日" 3
"遭" 3
"重" 3
"银" 3
"银子" 3
"错" 3
"随" 3
"雨" 3
"鬼" 3
"鲛" 3
"一件" 2
"一分" 2
"一则" 2
"一同" 2
"一场" 2
"一壁" 2
"一处" 2
"一心" 2
"一番" 2
"一顿" 2
"三个" 2
"上帝" 2
"不免" 2
"不大" 2
"不好" 2
"不如" 2
"不必" 2
"不曾" 2
"不然" 2
"不见" 2
"不觉" 2
"不错" 2
"世上" 2
"世俗" 2
"丢" 2
"两句" 2
"临" 2
"主意" 2
"也好" 2
"习" 2
"习武" 2
"云" 2
"亡" 2
"亲自" 2
"从未" 2
"从此" 2
"令" 2
"伤" 2
"伤感" 2
"体" 2
"何不" 2
"何如" 2
"你们" 2
"使得" 2
"俏" 2
"俗" 2
"保" 2
"倩" 2
"偏" 2
"偶" 2
"偷" 2
"傻子" 2
"全" 2
"八月" 2
"典" 2
"兹" 2
"冷眼" 2
"前来" 2
"剩" 2
"剿灭" 2
"势" 2
"匪" 2
"半天" 2
"单" 2
"危" 2
"即" 2
"友" 2
"受" 2
"叙" 2
"口舌" 2
"只怕" 2
"只管" 2
"只顾" 2
"可知" 2
"可谓" 2
"吃" 2
"各自" 2
"吊" 2
"名曰" 2
"吹" 2
"咏" 2
"咸" 2
"咽" 2
"唤" 2
"啼" 2
"噭" 2
"图" 2
"在内" 2
"场" 2
"埭" 2
"堆砌" 2
"夕" 2
"外" 2
"大事" 2
"天上" 2
"天兵" 2
"天子" 2
"天性" 2
"天机" 2
"奈" 2
"奖" 2
"女人" 2
"女将" 2
"奶子" 2
"妃" 2
"妒" 2
"姑娘" 2
"姽婳词" 2
"嫂" 2
"孤" 2
"孩子" 2
"定" 2
"客" 2
"宴" 2
"寂静" 2
"寒" 2
"对" 2
"寻" 2
"将军林" 2
"将来" 2
"小子" 2
"尘埃" 2
"尚未" 2
"屏" 2
"属" 2
"左" 2
"帏" 2
"帝" 2
"帮" 2
"干" 2
"应" 2
"归" 2
"当" 2
"影" 2
"彼此" 2
"征" 2
"徒" 2
"御" 2
"徨" 2
"徬" 2
"微" 2
"德" 2
"心里" 2
"忡" 2
"怎样" 2
"总" 2
"悬" 2
"惓" 2
"想起" 2
"意思" 2
"慕" 2
"戈" 2
"戮" 2
"打" 2
"打发" 2
"扫" 2
"承" 2
"把" 2
"抛" 2
"拉" 2
"拍手" 2
"拔" 2
"拘" 2
"招" 2
"拟" 2
"挑" 2
"挽词" 2
"捉" 2
"据" 2
"搪塞" 2
"收" 2
"敬" 2
"斗" 2
"料" 2
"料理" 2
"旌" 2
"无声" 2
"无奈" 2
"易" 2
"昔" 2
"昨" 2
"昨日" 2
"晚" 2
"晨" 2
"有所" 2
"有的" 2
"未免" 2
"李" 2
"杜撰" 2
"条" 2
"来说" 2
"枉" 2
"栩" 2
"格" 2
"模样" 2
"次" 2
"欲" 2
"止住" 2
"正是" 2
"歪" 2
"殒" 2
"沙" 2
"泉" 2
"流" 2
"流利" 2
"涉" 2
"涕" 2
"深知" 2
"混" 2
"清" 2
"渍" 2
"游" 2
"滞" 2
"澌" 2
"灰" 2
"灰尘" 2
"点缀" 2
"烁" 2
"烧" 2
"爰" 2
"父亲" 2
"爷" 2
"独" 2
"珠" 2
"画" 2
"留心" 2
"疏散" 2
"痕" 2
"痨" 2
"盖" 2
"盟" 2
"相" 2
"眉" 2
"睡" 2
"短" 2
"石" 2
"碍" 2
"祖宗" 2
"秾" 2
"稽" 2
"穿" 2
"立" 2
"立意" 2
"笔墨" 2
"第一" 2
"答道" 2
"篇" 2
"籍" 2
"糊涂" 2
"素" 2
"縠" 2
"红灯" 2
"细" 2
"绝" 2
"缕" 2
"美" 2
"羽" 2
"老" 2
"老人家" 2
"老爷" 2
"考" 2
"而已" 2
"联" 2
"胜" 2
"脸" 2
"膏" 2
"舌" 2
"舞" 2
"芳官" 2
"茗" 2
"药" 2
"莫" 2
"蒙" 2
"蓄" 2
"蓉" 2
"蓬" 2
"藻" 2
"虚" 2
"衣" 2
"衣服" 2
"衾" 2
"袄" 2
"裁" 2
"西风" 2
"计" 2
"记" 2
"词" 2
"词藻" 2
"诏" 2
"诟" 2
"说话" 2
"说道" 2
"谓" 2
"象" 2
"负" 2
"质" 2
"赞" 2
"赤" 2
"趁便" 2
"越" 2
"跟" 2
"路" 2
"车" 2
"较" 2
"迎春" 2
"进" 2
"连日" 2
"迷" 2
"通" 2
"逸" 2
"部" 2
"释" 2
"钱" 2
"长篇" 2
"闭" 2
"间" 2
"闺" 2
"闺阁" 2
"阮" 2
"降" 2
"陟" 2
"隆" 2
"隔" 2
"难道" 2
"集" 2
"雾" 2
"露" 2
"青" 2
"非" 2
"靠" 2
"韵" 2
"顺路" 2
"颇" 2
"首" 2
"驱" 2
"鬟" 2
"鸾" 2
"默默" 2
"一切" 1
"一刻" 1
"一口气" 1
"一回" 1
"一声" 1
"一幅" 1
"一幕" 1
"一年" 1
"一把" 1
"一日" 1
"一条" 1
"一段" 1
"一气" 1
"一点" 1
"一片" 1
"一种" 1
"一群" 1
"一节" 1
"一遍" 1
"一道" 1
"一阵" 1
"一项" 1
"一首七" 1
"丁香" 1
"七" 1
"万" 1
"万一" 1
"三串" 1
"三则" 1
"三四百" 1
"三年" 1
"三把" 1
"上去" 1
"下回" 1
"不为人知" 1
"不久" 1
"不便" 1
"不合时宜" 1
"不够" 1
"不宜" 1
"不忍" 1
"不怎么样" 1
"不意" 1
"不拘" 1
"不明" 1
"不易" 1
"不止" 1
"不禁" 1
"不肯" 1
"不胜" 1
"不言不语" 1
"不许" 1
"不过如此" 1
"不遂" 1
"丑" 1
"专" 1
"世" 1
"世事" 1
"世人" 1
"东" 1
"东南" 1
"丝" 1
"丢丑" 1
"两三个" 1
"两三日" 1
"两步" 1
"严" 1
"中心" 1
"丰" 1
"临战" 1
"临终" 1
"丸药" 1
"为人" 1
"为什么" 1
"为止" 1
"为着" 1
"主" 1
"丽" 1
"举止" 1
"久" 1
"之前" 1
"之后" 1
"之际" 1
"乌" 1
"乐天" 1
"乔" 1
"乘" 1
"九" 1
"乞丐" 1
"乡" 1
"书房" 1
"乱" 1
"事业" 1
"事故" 1
"二两" 1
"二年" 1
"二等" 1
"二门" 1
"二首" 1
"亏" 1
"云气" 1
"五" 1
"五丝" 1
"五个" 1
"五六年" 1
"五年" 1
"交" 1
"亦可" 1
"京师" 1
"亲" 1
"亲昵" 1
"亲近" 1
"亵" 1
"人大" 1
"人影" 1
"人才" 1
"人道" 1
"仅" 1
"今人" 1
"从头" 1
"从宽" 1
"从没" 1
"他因" 1
"他家" 1
"仙" 1
"代" 1
"以后" 1
"以来" 1
"以至" 1
"以至于" 1
"仪" 1
"仰" 1
"件" 1
"任" 1
"任意" 1
"份" 1
"仿佛" 1
"伊" 1
"伞" 1
"传" 1
"伶" 1
"伶俐" 1
"伺候" 1
"似的" 1
"位" 1
"低" 1
"低头" 1
"体格" 1
"体统" 1
