"词语" "次数"
"了" 88
"的" 83
"是" 52
"又" 41
"不" 39
"说" 35
"这" 31
"道" 30
"他" 29
"之" 28
"你" 27
"宝玉" 26
"我" 25
"也" 24
"有" 24
"得" 23
"只" 20
"家" 19
"来" 19
"一" 18
"香菱" 18
"人" 17
"去" 17
"在" 15
"笑" 15
"见" 15
"过" 15
"便" 14
"就" 14
"出" 13
"听" 13
"桂" 13
"薛蟠" 13
"金" 13
"姑娘" 12
"才" 12
"改" 12
"都" 12
"什么" 11
"好" 11
"事" 10
"如今" 10
"如此" 10
"忙" 10
"自" 10
"黛玉" 10
"且" 9
"中" 9
"着" 9
"等" 9
"罢" 9
"要" 9
"还" 9
"个" 8
"为" 8
"亦" 8
"作" 8
"倒" 8
"因" 8
"我们" 8
"桂花" 8
"此" 8
"到" 7
"呢" 7
"和" 7
"想" 7
"无" 7
"时" 7
"没" 7
"竟" 7
"虽" 7
"那" 7
"一个" 6
"下" 6
"二" 6
"些" 6
"亲" 6
"们" 6
"却" 6
"哥哥" 6
"因此" 6
"女儿" 6
"字" 6
"将" 6
"心" 6
"心中" 6
"比" 6
"贾母" 6
"这样" 6
"里" 6
"一面" 5
"丫鬟" 5
"人家" 5
"他家" 5
"内" 5
"再" 5
"咱们" 5
"回" 5
"夏" 5
"大" 5
"奶奶" 5
"姐姐" 5
"娶" 5
"所以" 5
"明儿" 5
"晴雯" 5
"看" 5
"红" 5
"至" 5
"花" 5
"这些" 5
"进" 5
"连" 5
"问" 5
"一日" 4
"上" 4
"不知" 4
"不能" 4
"不过" 4
"与" 4
"丫头" 4
"之后" 4
"从" 4
"住" 4
"何" 4
"其" 4
"况且" 4
"别" 4
"到底" 4
"原" 4
"只得" 4
"可" 4
"同" 4
"听见" 4
"呆" 4
"多" 4
"好容易" 4
"如" 4
"妙" 4
"娇" 4
"子" 4
"孙" 4
"小姐" 4
"快" 4
"意" 4
"找" 4
"新" 4
"日子" 4
"气" 4
"皆" 4
"知道" 4
"窗" 4
"自己" 4
"茜" 4
"落" 4
"贾赦" 4
"起" 4
"起来" 4
"过去" 4
"迎春" 4
"这里" 4
"门" 4
"闻" 4
"马" 4
"不觉" 3
"世交" 3
"乱" 3
"以" 3
"会" 3
"似" 3
"但" 3
"何必" 3
"你们" 3
"儿" 3
"儿子" 3
"先" 3
"公子" 3
"养" 3
"凡" 3
"刚" 3
"前" 3
"十分" 3
"原来" 3
"厮" 3
"及" 3
"叫" 3
"后" 3
"唐突" 3
"唤" 3
"垄" 3
"多情" 3
"大观园" 3
"宁" 3
"定" 3
"尽" 3
"已" 3
