"词语" "次数"
"了" 186
"的" 176
"不" 71
"他" 71
"来" 71
"家" 70
"我" 66
"说" 64
"道" 60
"周" 54
"瑞" 52
"这" 52
"你" 50
"是" 50
"去" 47
"着" 43
"儿" 41
"在" 41
"也" 40
"便" 40
"又" 39
"就" 38
"凤" 36
"人" 34
"有" 33
"什么" 32
"姐" 31
"宝玉" 31
"问" 31
"笑" 29
"因" 28
"见" 28
"秦" 27
"氏" 26
"听" 25
"大" 25
"送" 24
"呢" 23
"和" 22
"等" 22
"都" 21
"一" 19
"二" 18
"贾" 18
"里" 18
"小" 17
"那" 17
"事" 16
"们" 16
"吃" 16
"宝" 16
"要" 16
"只" 15
"得" 15
"忙" 15
"还" 15
"作" 14
"夫人" 14
"好" 14
"姑娘" 14
"尤" 14
"往" 14
"王" 14
"花" 14
"蓉" 14
"请" 14
"之" 13
"再" 13
"可" 13
"罢" 13
"钟" 13
"上" 12
"与" 12
"倒" 12
"回" 12
"子" 12
"焦" 12
"为" 11
"先" 11
"叫" 11
"正" 11
"给" 11
"过" 11
"下" 10
"亦" 10
"出" 10
"到" 10
"只见" 10
"坐" 10
"把" 10
"日" 10
"时" 10
"没" 10
"看" 10
"这样" 10
"这里" 10
"那里" 10
"一个" 9
"丫鬟" 9
"房" 9
"拿" 9
"派" 9
"谁" 9
"钗" 9
"香" 9
"个" 8
"丫头" 8
"会" 8
"咱们" 8
"回去" 8
"头" 8
"奶奶" 8
"如今" 8
"姐姐" 8
"带" 8
"惜" 8
"我们" 8
"才" 8
"春" 8
"知道" 8
"答应" 8
"自" 8
"话" 8
"金" 8
"不知" 7
"东西" 7
"中" 7
"些" 7
"今儿" 7
"从" 7
"何不" 7
"出来" 7
"别" 7
"十二" 7
"却" 7
"巧" 7
"方" 7
"病" 7
"知" 7
"至" 7
"若" 7
"药" 7
"薛" 7
"钏" 7
"钱" 7
"一面" 6
"两个" 6
"发" 6
"可以" 6
"后" 6
"太" 6
"太太" 6
"太爷" 6
"女儿" 6
"姐儿" 6
"姨妈" 6
"府" 6
"开" 6
"成" 6
"智能" 6
"生" 6
"竟" 6
"自己" 6
"菱" 6
"起来" 6
"这些" 6
"进" 6
"进来" 6
"那边" 6
"酒" 6
"一回" 5
"一时" 5
"且" 5
"两枝" 5
"丸" 5
"主子" 5
"你们" 5
"内" 5
"半日" 5
"命" 5
"在家" 5
"处" 5
"完" 5
"平" 5
"打" 5
"无" 5
"早" 5
"死" 5
"比" 5
"毕" 5
"没有" 5
"灰" 5
"爬" 5
"玉" 5
"珍" 5
"老太太" 5
"花儿" 5
"起" 5
"这边" 5
"遂" 5
"顽" 5
"骂" 5
"黛" 5
"一处" 4
"东" 4
"今日" 4
"他们" 4
"偏" 4
"兄弟" 4
"出去" 4
"匣子" 4
"十二两" 4
"反" 4
"叔" 4
"向" 4
"堆" 4
"大家" 4
"妈" 4
"媳妇" 4
"学" 4
"安" 4
"将" 4
"岂" 4
"师傅" 4
"常" 4
"待" 4
"心" 4
"忽" 4
"想" 4
"戴" 4
"打发" 4
"探" 4
"放" 4
"敢" 4
"林" 4
"水" 4
"留" 4
"白" 4
"笑话" 4
"老人家" 4
"花蕊" 4
"茶" 4
"该" 4
"读书" 4
"走" 4
"跑" 4
"问道" 4
"雨水" 4
"不得" 3
"业师" 3
"乃" 3
"事情" 3
"于" 3
"人家" 3
"仗" 3
"众" 3
"倘或" 3
"几个" 3
"刘" 3
"别的" 3
"匣" 3
"原来" 3
"及" 3
"可巧" 3
"同" 3
"商议" 3
"回话" 3
"多" 3
"奶子" 3
"如此" 3
"姥姥" 3
"姨太太" 3
"字" 3
"孩子" 3
"宫" 3
"家父" 3
"小厮" 3
"屋里" 3
"已" 3
"师" 3
"帘" 3
"年纪" 3
"延" 3
"心中" 3
"忘" 3
"意" 3
"戏" 3
"所以" 3
"手里" 3
"捆" 3
"携" 3
"摆" 3
"摇头" 3
"收" 3
"散" 3
"既" 3
"旧" 3
"明儿" 3
"更" 3
"李" 3
"果然" 3
"欲" 3
"正是" 3
"母" 3
"炕" 3
"现" 3
"瞧" 3
"穿" 3
"立" 3
"纨" 3
"纱" 3
"结" 3
"腼腆" 3
"虽" 3
"被" 3
"觉" 3
"语" 3
"谁知" 3
"起身" 3
"跟" 3
"身" 3
"车" 3
"边" 3
"过去" 3
"迎春" 3
"进入" 3
"进去" 3
"连" 3
"逛逛" 3
"道谢" 3
"醉" 3
"里间" 3
"银子" 3
"雨" 3
"马" 3
"一二年" 2
"一定" 2
"一把" 2
"一阵" 2
"上房" 2
"不大" 2
"不好" 2
"不理" 2
"不能" 2
"不过" 2
"不顾" 2
"东道" 2
"两日" 2
"丰" 2
"主意" 2
"举止" 2
"书" 2
"交" 2
"亲" 2
"众人" 2
"何" 2
"余" 2
"使" 2
"例" 2
"俊俏" 2
"信" 2
"倒好" 2
"偷" 2
"充" 2
"入" 2
"八" 2
"养" 2
"冷" 2
"刀子" 2
