"词语" "次数"
"了" 149
"的" 145
"不" 95
"说" 68
"我" 66
"是" 63
"他" 59
"你" 53
"道" 50
"着" 48
"来" 46
"金" 45
"人" 44
"桂" 44
"这" 39
"香菱" 39
"也" 38
"又" 37
"去" 35
"薛蟠" 34
"便" 30
"在" 30
"好" 30
"就" 30
"有" 25
"宝蟾" 24
"宝玉" 23
"只" 22
"笑" 22
"得" 21
"要" 21
"过" 19
"叫" 18
"什么" 16
"作" 16
"忙" 16
"一" 15
"之" 15
"儿" 15
"如今" 15
"打" 15
"王一贴" 15
"还" 15
"都" 15
"吃" 14
"命" 14
"气" 13
"谁" 13
"那" 13
"与" 12
"可" 12
"家" 12
"等" 12
"一个" 11
"倒" 11
"听" 11
"呢" 11
"已" 11
"房" 11
"罢" 11
"薛姨妈" 11
"里" 11
"且" 10
"再" 10
"出" 10
"无" 10
"时" 10
"死" 10
"问" 10
"香" 10
"一面" 9
"上" 9
"个" 9
"事" 9
"亦" 9
"别" 9
"到" 9
"卖" 9
"和" 9
"姑娘" 9
"王夫人" 9
"膏药" 9
"虽" 9
"见" 9
"骂" 9
"些" 8
"使" 8
"奶奶" 8
"把" 8
"正" 8
"没" 8
"病" 8
"睡" 8
"不知" 7
"丫头" 7
"听见" 7
"哥" 7
"头" 7
"子" 7
"字" 7
"散" 7
"治" 7
"知道" 7
"若" 7
"起" 7
"起来" 7
"迎春" 7
"连" 7
"众" 6
"先" 6
"出去" 6
"劝" 6
"反" 6
"姊妹" 6
"嫌" 6
"屋里" 6
"庙" 6
"心" 6
"意" 6
"接" 6
"效" 6
"知" 6
"茶" 6
"被" 6
"话" 6
"贴" 6
"越发" 6
"跑" 6
"这些" 6
"难" 6
"中" 5
"为" 5
"们" 5
"住" 5
"则" 5
"发" 5
"只得" 5
"因" 5
"大" 5
"如" 5
"并" 5
"恨" 5
"想" 5
"我们" 5
"撞" 5
"敢" 5
"方" 5
"无奈" 5
"既" 5
"曾" 5
"皆" 5
"脸" 5
"自" 5
"自己" 5
"花" 5
"药" 5
"菱角" 5
"跟" 5
"这话" 5
"那时" 5
"闹" 5
"霸占" 5
"一时" 4
"下" 4
"不能" 4
"两日" 4
"乐" 4
"乱" 4
"二" 4
"以" 4
"众人" 4
"会" 4
"依" 4
"内" 4
"冷笑" 4
"到底" 4
"动" 4
"十分" 4
"却" 4
"名字" 4
"哭" 4
"嘴" 4
"回" 4
"外" 4
"多" 4
"如此" 4
"妒" 4
"娶" 4
"孙绍祖" 4
"安歇" 4
"宝钗" 4
"将" 4
"岂" 4
"当日" 4
"往" 4
"忘" 4
"怕" 4
"急" 4
"怨" 4
"情" 4
"所" 4
"手" 4
"拿" 4
"摆布" 4
"故意" 4
"旧" 4
"未" 4
"李贵" 4
"极" 4
"横竖" 4
"比" 4
"猜" 4
"用" 4
"略" 4
"看" 4
"秋" 4
"竟" 4
"笑话" 4
"肯" 4
"至" 4
"茗烟" 4
"该" 4
"请" 4
"赶" 4
"进" 4
"遇见" 4
"那里" 4
"钱" 4
"门" 4
"一股" 3
"一般" 3
"一身" 3
"不如" 3
"两三次" 3
"主意" 3
"买" 3
"于" 3
"于是" 3
"今" 3
"从" 3
"伏" 3
"但" 3
"你们" 3
"使唤" 3
"侍" 3
"信" 3
"其" 3
"几年" 3
"别人" 3
"原" 3
"取" 3
"只怕" 3
"可是" 3
"后" 3
"听说" 3
"唤" 3
"喜" 3
"喝" 3
"地" 3
"坐" 3
"大家" 3
"天" 3
"媳妇" 3
"嬷嬷" 3
"宁" 3
"实" 3
"寻" 3
"小" 3
"小舍儿" 3
"径" 3
"必" 3
"快" 3
"怎么" 3
"性" 3
"恶" 3
"惟" 3
"所以" 3
"找" 3
"折" 3
"拷问" 3
"挟制" 3
"收" 3
"日" 3
"明" 3
"更" 3
"最" 3
"服" 3
"极其" 3
"梨" 3
"正要" 3
"此时" 3
"没有" 3
"爷" 3
"牙" 3
"犹" 3
"真" 3
"眼" 3
"神" 3
"老爷" 3
"自然" 3
"舍" 3
"荣" 3
"装" 3
"见效" 3
"解" 3
"让" 3
"过来" 3
"这么" 3
"这样" 3
"这里" 3
"邢夫人" 3
"银子" 3
"陪" 3
"静" 3
"面" 3
"齐" 3
"一夜" 2
"一心" 2
"一早" 2
"一种" 2
"一腔" 2
"一行" 2
"一辈" 2
"三" 2
"三五天" 2
"不好意思" 2
"不容分说" 2
"不必" 2
"不服" 2
"不许" 2
"不过" 2
"不通" 2
"专" 2
"东西" 2
"两" 2
"两下" 2
"丫鬟" 2
"举止" 2
"之际" 2
"乍" 2
"五千" 2
"亲" 2
"今日" 2
"仍" 2
"仗" 2
"令" 2
"伤" 2
"何" 2
"何必" 2
"何苦" 2
"俱" 2
"倘或" 2
"偏" 2
"儿子" 2
"先是" 2
"八" 2
"兰花" 2
"净" 2
"出门" 2
"刀" 2
"分" 2
"剂" 2
"医" 2
"及" 2
"只管" 2
"可比" 2
"叹" 2
"后来" 2
"吩咐" 2
"告" 2
"咽" 2
"哟" 2
"哭喊" 2
"唯" 2
"喊" 2
"四肢" 2
"因此" 2
"图" 2
"在意" 2
"处" 2
"复" 2
"夜" 2
"天天" 2
"夫妻" 2
"奈" 2
"好生" 2
"如何" 2
"婆婆" 2
"宅" 2
"安逸" 2
"完" 2
"害" 2
"家中" 2
"容" 2
"小儿" 2
"属" 2
"年" 2
"弄" 2
"当下" 2
"忍" 2
"忽" 2
"怎样" 2
"怒" 2
"怕人" 2
"总" 2
"悲" 2
"情愿" 2
"惯" 2
"愿" 2
"成" 2
"或" 2
"手帕" 2
"打发" 2
"拌嘴" 2
"拔" 2
"持" 2
"挂" 2
"指" 2
"挫" 2
"换" 2
"撵" 2
"收拾" 2
"故" 2
"效验" 2
"斗" 2
"料" 2
"断" 2
"断绝" 2
"新" 2
"方子" 2
"施" 2
"无不" 2
"无法" 2
"日子" 2
"早" 2
"早已" 2
"明日" 2
"明白" 2
"晚饭" 2
"有意" 2
"本" 2
"杀" 2
"桂花" 2
"次日" 2
"欲" 2
"正是" 2
"此" 2
"母女" 2
"每日" 2
"水" 2
"汤药" 2
"法" 2
"泪" 2
"泼" 2
"浑" 2
"清早" 2
"清香" 2
"烟道" 2
"熏" 2
"熟" 2
"爱" 2
"独" 2
"王" 2
"理" 2
"留" 2
"留下" 2
"疏远" 2
"痛哭" 2
"百" 2
"百般" 2
"益发" 2
"省得" 2
"眼中钉" 2
"睡着" 2
"秋菱" 2
"空儿" 2
"窗子" 2
"红" 2
"细" 2
"终" 2
"给" 2
"老太太" 2
"老婆" 2
"老王道士" 2
"者" 2
"而已" 2
"肉" 2
"肉中刺" 2
"胆" 2
"脖" 2
"脚" 2
"自此" 2
"色" 2
"茗" 2
"薛" 2
"血" 2
"解劝" 2
"言" 2
"记" 2
"诞" 2
"语" 2
"说明" 2
"说道" 2
"请安" 2
"谁知" 2
"贾母" 2
"赌气" 2
"赏" 2
"赖" 2
"跟前" 2
"身上" 2
"软" 2
"辞" 2
"近" 2
"还愿" 2
"进去" 2
"进来" 2
"迭" 2
"逼" 2
"酒" 2
"醺" 2
"钉" 2
"钱粮" 2
"长" 2
"闲" 2
"闻" 2
"除" 2
"随" 2
"随意" 2
"隔" 2
"项" 2
"风" 2
"骨头" 2
"魇" 2
"一些" 1
"一会" 1
"一体" 1
"一口咬定" 1
"一句" 1
"一味" 1
"一回" 1
"一声" 1
"一头" 1
"一定" 1
"一席话" 1
"一张" 1
"一撇" 1
"一枝" 1
"一样" 1
"一根" 1
"一概" 1
"一点" 1
"一百二十味" 1
"一百岁" 1
"一言难尽" 1
"一连" 1
"一阵" 1
"一顿" 1
"七" 1
"七八次" 1
"万万" 1
"万端" 1
"丈夫" 1
"三个" 1
"三分" 1
"三味" 1
"三日" 1
"三步" 1
"三碗" 1
"上上下下" 1
"上下" 1
"上手" 1
"上面" 1
"下回" 1
"下手" 1
"下次" 1
"下酒" 1
"下铺" 1
"不争" 1
"不但" 1
"不免" 1
"不堪" 1
"不好" 1
"不妥" 1
"不容" 1
"不尽" 1
"不得" 1
"不成" 1
"不曾" 1
"不灵" 1
"不然" 1
"不独" 1
"不端" 1
"不肯" 1
"不觉" 1
"不识抬举" 1
"不问" 1
"世面" 1
"丢开" 1
"两三个" 1
"两个" 1
"两口" 1
"两声" 1
