"词语" "次数"
"了" 115
"的" 114
"不" 73
"是" 59
"他" 48
"也" 43
"你" 43
"又" 41
"我" 41
"去" 40
"说" 40
"有" 38
"人" 37
"来" 37
"宝玉" 35
"这" 30
"金荣" 30
"着" 28
"在" 27
"道" 27
"秦钟" 25
"好" 24
"得" 24
"一" 22
"只" 21
"见" 21
"都" 20
"之" 19
"打" 19
"中" 18
"二" 18
"要" 17
"些" 16
"便" 16
"儿" 16
"就" 16
"茗烟" 16
"学" 15
"李贵" 15
"贾瑞" 15
"听" 14
"等" 14
"上" 13
"忙" 13
"笑" 13
"那" 13
"与" 12
"薛蟠" 12
"什么" 11
"住" 11
"先" 11
"起" 11
"两个" 10
"书" 10
"亦" 10
"和" 10
"如今" 10
"我们" 10
"早" 10
"话" 10
"谁" 10
"上学" 9
"却" 9
"原来" 9
"后" 9
"因" 9
"小" 9
"想" 9
"敢" 9
"日" 9
"还" 9
"问" 9
"事" 8
"你们" 8
"再" 8
"到" 8
"可" 8
"因此" 8
"贾政" 8
"贾菌" 8
"连" 8
"里" 8
"个" 7
"为" 7
"他们" 7
"们" 7
"偏" 7
"叫" 7
"回" 7
"声" 7
"家" 7
"砚" 7
"秦" 7
"罢" 7
"自" 7
"请" 7
"闹" 7
"香" 7
"一个" 6
"作" 6
"出" 6
"劝" 6
"动" 6
"助" 6
"咱们" 6
"大" 6
"子弟" 6
"念" 6
"手" 6
"方" 6
"最" 6
"未" 6
"正" 6
"老人家" 6
"自己" 6
"贾母" 6
"贾蔷" 6
"起来" 6
"辞" 6
"过" 6
"这里" 6
"进来" 6
"香怜" 6
"内" 5
"出来" 5
"反" 5
"口" 5
"吃" 5
"同" 5
"向" 5
"呢" 5
"喝" 5
"太爷" 5
"如此" 5
"才" 5
"把" 5
"拿" 5
"时" 5
"欺负" 5
"气" 5
"玉" 5
"生" 5
"用" 5
"看" 5
"系" 5
"至" 5
"袭人" 5
"跟" 5
"遂" 5
"那里" 5
"长" 5
"骂" 5
"一句" 4
"一声" 4
"不知" 4
"且" 4
"乱" 4
"亲戚" 4
"众人" 4
"会" 4
"依" 4
"倒" 4
"兄弟" 4
"几句" 4
"出去" 4
"包" 4
"只得" 4
"名" 4
"命" 4
"咳嗽" 4
"唤" 4
"回去" 4
"图" 4
"坐" 4
"大爷" 4
"如何" 4
"宝" 4
"将" 4
"岂" 4
"已" 4
"干" 4
"座" 4
"或" 4
"房" 4
"族" 4
"朋友" 4
"此" 4
"没" 4
"相公" 4
"竟" 4
"答应" 4
"羞" 4
"肏" 4
"言" 4
"许" 4
"贾" 4
"走" 4
"送" 4
"问道" 4
"闷" 4
"难道" 4
"飞" 4
"黛玉" 4
