"词语" "次数"
"了" 202
"的" 179
"不" 95
"是" 91
"说" 75
"道" 69
"也" 68
"人" 67
"我" 66
"你" 63
"又" 59
"这" 59
"来" 57
"他" 55
"贾" 55
"着" 46
"去" 44
"笑" 44
"家" 43
"便" 42
"凤" 41
"母" 41
"在" 40
"因" 36
"奶奶" 35
"有" 34
"氏" 34
"尤" 33
"都" 33
"一" 31
"之" 30
"事" 29
"等" 29
"两个" 28
"只" 27
"叫" 26
"就" 26
"鸳鸯" 26
"上" 24
"中" 24
"们" 24
"儿" 24
"吃" 24
"听" 24
"和" 24
"见" 24
"丫头" 23
"好" 23
"子" 23
"大" 22
"那" 21
"出来" 20
"姐儿" 20
"还" 20
"一个" 19
"二" 19
"到" 19
"过" 19
"里" 19
"姐" 18
"林" 18
"话" 18
"谁" 18
"他们" 17
"命" 17
"园" 17
"孝" 17
"与" 16
"什么" 16
"夫人" 16
"才" 16
"罢" 16
"至" 16
"要" 16
"传" 15
"小" 15
"忙" 15
"个" 14
"周" 14
"太" 14
"府" 14
"看" 14
"问" 14
"呢" 13
"婆" 13
"得" 13
"我们" 13
"老太太" 13
"这里" 13
"些" 12
"你们" 12
"大家" 12
"太太" 12
"姊妹" 12
"把" 12
"请" 12
"且" 11
"先" 11
"回" 11
"姐姐" 11
"宝" 11
"房" 11
"没" 11
"下" 10
"出" 10
"别" 10
"放" 10
"日" 10
"王" 10
"瑞" 10
"那里" 10
"不知" 9
"南安" 9
"并" 9
"邢" 9
"为" 8
"内" 8
"再" 8
"司" 8
"各" 8
"后" 8
"告诉" 8
"喜" 8
"妃" 8
"姑子" 8
"宝玉" 8
"当" 8
"所以" 8
"打" 8
"拉" 8
"早" 8
"棋" 8
"气" 8
"琴" 8
"素日" 8
"说话" 8
"走" 8
"这样" 8
"一面" 7
"众人" 7
"几个" 7
"坐" 7
"已" 7
"开" 7
"心" 7
"拣" 7
"捆" 7
"方" 7
"春" 7
"李" 7
"毕" 7
"湘云" 7
"礼" 7
"自己" 7
"让" 7
"该" 7
"起" 7
"进" 7
"不过" 6
"今日" 6
"会" 6
"作" 6
"偏" 6
"入" 6
"共" 6
"几日" 6
"前" 6
"反" 6
"只管" 6
"只见" 6
"可" 6
"听见" 6
"咱们" 6
"哭" 6
"四" 6
"如今" 6
"姑娘" 6
"完" 6
"应" 6
"打发" 6
"方才" 6
"晚间" 6
"榻" 6
"正" 6
"死" 6
"然后" 6
"王妃" 6
"生" 6
"知道" 6
"管家" 6
"纨" 6
"给" 6
"若" 6
"袭" 6
"诰" 6
"进来" 6
"送" 6
"那边" 6
"顽" 6
"鸾" 6
"一回" 5
"三" 5
"丫鬟" 5
"众" 5
"北" 5
"原" 5
"原故" 5
"哄" 5
"回头" 5
"回来" 5
"堂" 5
"多" 5
"女人" 5
"如此" 5
"姨娘" 5
"媳妇" 5
"嫂子" 5
"客" 5
"寿" 5
"小厮" 5
"得罪" 5
"想" 5
"戏" 5
"找" 5
"探" 5
"既" 5
"时" 5
"更" 5
"有人" 5
"没有" 5
"珍" 5
"琏" 5
"生气" 5
"留" 5
"皆" 5
"立" 5
"竟" 5
"管事" 5
"糊涂" 5
"者" 5
"自" 5
"茶" 5
"荣" 5
"跑" 5
"跟前" 5
"边" 5
"这些" 5
"连" 5
"酒" 5
"门" 5
"闹" 5
"静" 5
"香" 5
"一日" 4
"亲家" 4
"从" 4
"仗" 4
"传人" 4
"住" 4
"体面" 4
"使" 4
"侯" 4
"倒" 4
"凡" 4
"出去" 4
"及" 4
"受" 4
"吃饭" 4
"同" 4
"后来" 4
"吩咐" 4
"喜欢" 4
"围屏" 4
"处" 4
"大事" 4
"大小" 4
"头" 4
"女儿" 4
"娘" 4
"家里" 4
"将" 4
"带领" 4
"常" 4
"平" 4
"径" 4
"快" 4
"怎么" 4
"手" 4
"政" 4
"敢" 4
"散" 4
"族" 4
"无" 4
"早已" 4
"曾" 4
"歇" 4
"歇歇" 4
"求" 4
"点" 4
"献" 4
"玉" 4
"班" 4
"琥珀" 4
"用" 4
"白" 4
"管" 4
"红" 4
"终" 4
"经" 4
"老" 4
"菜" 4
"藏" 4
"角门" 4
"许多" 4
"赏" 4
"赖" 4
"赦" 4
"起来" 4
"越" 4
"过来" 4
"这话" 4
"金" 4
"陪" 4
"饿" 4
"一声" 3
"一时" 3
"一阵" 3
"乐" 3
"乱" 3
"二十八日" 3
"于" 3
"人家" 3
"今" 3
"令" 3
"余" 3
"佛" 3
"侍" 3
"侍候" 3
"入席" 3
"几年" 3
"千秋" 3
"单" 3
"另" 3
"只得" 3
"各处" 3
"后事" 3
"向" 3
"吹" 3
"呆" 3
"告" 3
"哟" 3
"唤" 3
"嗳" 3
"回身" 3
"因此" 3
"园内" 3
"复" 3
"外" 3
"奴才" 3
"如" 3
"嫌隙" 3
"宁" 3
"寻" 3
"屏" 3
"已经" 3
"席" 3
"干" 3
"庆" 3
"当着" 3
"待" 3
"念" 3
"怕" 3
"怨" 3
"或是" 3
"接" 3
"提" 3
"摆" 3
"收" 3
"故事" 3
"新" 3
"明儿" 3
"未" 3
"果" 3
"歪" 3
"比" 3
"泪" 3
"灯" 3
"略" 3
"瞧" 3
"磕头" 3
"答应" 3
"算" 3
"素" 3
"羞" 3
"老婆子" 3
"肿" 3
"背地里" 3
"脸" 3
"虽然" 3
"行礼" 3
"设" 3
"语" 3
"诸" 3
"调唆" 3
"费" 3
"赵" 3
"跟" 3
"跪" 3
"身" 3
"车" 3
"过去" 3
"迎春" 3
"还有" 3
"这么" 3
"这边" 3
"递" 3
"遇见" 3
"钗" 3
"错" 3
"难道" 3
"驸马" 3
"黛" 3
"齐" 3
"一位" 2
"一出" 2
"一席" 2
"一手" 2
"一架" 2
"一点儿" 2
"一起" 2
"一遍" 2
"七月" 2
"万金" 2
"不在话下" 2
"不管" 2
"不能" 2
"不许" 2
"世" 2
"东" 2
"东西" 2
"两" 2
"两日" 2
"两溜" 2
"为什么" 2
"主人" 2
"之后" 2
"乏" 2
"事务" 2
"五" 2
"交公" 2
"亲" 2
"亲友" 2
"人影" 2
"今儿" 2
"仍" 2
"以及" 2
"似" 2
"何" 2
"依" 2
"值" 2
"假" 2
"偏心" 2
"做" 2
"儿媳妇" 2
"免" 2
"八九" 2
"八月" 2
"关门" 2
"兴" 2
"凑" 2
"几下" 2
"几处" 2
"凭" 2
"出入" 2
"分" 2
"刚" 2
"初三" 2
"初五" 2
"别处" 2
"劝" 2
"劳乏" 2
"勤" 2
"却" 2
"厅" 2
"厚" 2
"发" 2
"变" 2
"叙" 2
"口" 2
"可巧" 2
"可笑" 2
"各家" 2
"吓" 2
"听说" 2
"呀" 2
"告辞" 2
"啐" 2
"嘉" 2
"嘱咐" 2
"圈" 2
"坐席" 2
"堂上" 2
"多心" 2
"大娘" 2
"大观园" 2
"夸" 2
"夸赞" 2
"奉" 2
"女" 2
"好日子" 2
"妆" 2
"妈" 2
"妹妹" 2
"孩子" 2
"定" 2
"实在" 2
"家宴" 2
"家门" 2
"寿星" 2
"小人" 2
"小姐" 2
"少" 2
"尽" 2
"屋子" 2
"岂" 2
"巴" 2
"巴不得" 2
"帐" 2
"帘" 2
"带" 2
"帮" 2
"庙" 2
"庭" 2
"开发" 2
"开恩" 2
"引" 2
"弱" 2
"彩" 2
"往" 2
"微" 2
"心上" 2
"心中" 2
"快乐" 2
"忽" 2
"怡" 2
"悄" 2
"惹" 2
"户" 2
"所" 2
"打听" 2
"托" 2
"抬" 2
"拜寿" 2
"拿" 2
"挑" 2
"捧" 2
"揭" 2
"昌" 2
"明日" 2
"昨" 2
"晚" 2
"晚饭" 2
"更衣" 2
"替" 2
"有些" 2
"本" 2
"机" 2
"杂" 2
"村" 2
"来往" 2
"果然" 2
"树" 2
"横竖" 2
"次日" 2
"歇息" 2
"正门" 2
"此时" 2
"母亲" 2
"求情" 2
"汤" 2
"没脸" 2
"治" 2
"洗" 2
"派" 2
"满" 2
"点心" 2
"熟" 2
"犹" 2
"独" 2
"理" 2
"由" 2
"男客" 2
"留下" 2
"疼" 2
"病" 2
"白日" 2
"的话" 2
"直" 2
"眼" 2
"着实" 2
"知觉" 2
"石" 2
"礼物" 2
"积" 2
"稻" 2
"立刻" 2
"筵宴" 2
"算是" 2
"绝" 2
"缎" 2
"缠" 2
"老实" 2
"而" 2
"耍" 2
"耽" 2
"胜" 2
"脚" 2
