"词语" "次数"
"了" 281
"的" 196
"人" 110
"是" 103
"不" 102
"他" 99
"也" 93
"去" 84
"又" 84
"宝玉" 81
"你" 78
"我" 78
"道" 74
"说" 69
"有" 67
"来" 67
"这" 64
"就" 58
"夫人" 50
"因" 49
"好" 49
"王" 49
"只" 44
"得" 43
"一" 41
"之" 41
"着" 40
"晴" 39
"雯" 39
"在" 34
"听" 33
"等" 32
"家" 31
"都" 30
"袭" 29
"笑" 28
"还" 28
"上" 27
"太太" 27
"见" 27
"便" 26
"个" 23
"叫" 23
"如今" 23
"罢" 23
"再" 22
"已" 21
"那" 21
"下" 20
"你们" 20
"倒" 20
"且" 19
"他们" 19
"作" 19
"到" 19
"命" 19
"要" 19
"问" 19
"与" 18
"事" 18
"司" 18
"忙" 18
"时" 18
"棋" 18
"些" 17
"看" 17
"起来" 17
"两个" 16
"什么" 16
"们" 16
"内" 16
"周" 16
"姑娘" 16
"我们" 16
"比" 16
"瑞" 16
"皆" 16
"知道" 16
"话" 16
"过" 16
"那里" 16
"出" 15
"和" 15
"死" 15
"茶" 15
"虽" 15
"里" 15
"一个" 14
"一面" 14
"儿" 14
"哭" 14
"子" 14
"官" 14
"心" 14
"快" 14
"这样" 14
"进来" 14
"大" 13
"将" 13
"方" 13
"没" 13
"用" 13
"给" 13
"出去" 12
"呢" 12
"小" 12
"想" 12
"意" 12
"成" 12
"才" 12
"拿" 12
"无" 12
"知" 12
"贾" 12
"一时" 11
"可" 11
"吃" 11
"向" 11
"带" 11
"怎么" 11
"把" 11
"故" 11
"自" 11
"迎春" 11
"不能" 10
"丫头" 10
"今日" 10
"园" 10
"所以" 10
"走" 10
"这个" 10
"不过" 9
"住" 9
"先" 9
"却" 9
"咱们" 9
"善" 9
"回" 9
"岂" 9
"既" 9
"生" 9
"睡" 9
"竟" 9
"自己" 9
"芳" 9
"若" 9
"遂" 9
"一句" 8
"不知" 8
"东西" 8
"中" 8
"出来" 8
"别" 8
"各" 8
"后" 8
"听说" 8
"多" 8
"太" 8
"如此" 8
"婆" 8
"并" 8
"房" 8
"曾" 8
"未" 8
