"词语" "次数"
"了" 211
"的" 145
"贾" 143
"道" 106
"不" 89
"是" 86
"来" 85
"我" 65
"说" 64
"着" 63
"也" 61
"氏" 57
"尤" 56
"母" 56
"你" 55
"又" 55
"便" 53
"笑" 52
"在" 51
"去" 50
"吃" 47
"这" 47
"他" 45
"都" 45
"人" 43
"因" 43
"就" 43
"好" 40
"只" 39
"之" 32
"有" 32
"一" 28
"上" 27
"忙" 27
"政" 27
"珍" 27
"些" 24
"要" 24
"过" 24
"酒" 24
"坐" 22
"大" 22
"下" 21
"等" 21
"见" 21
"得" 20
"看" 20
"邢" 20
"呢" 19
"家" 19
"作" 18
"命" 18
"问" 18
"听" 17
"罢" 17
"这样" 17
"一个" 16
"夫人" 16
"奶奶" 16
"方" 16
"起来" 16
"今日" 15
"们" 15
"再" 15
"春" 15
"纨" 15
"还" 15
"且" 14
"凤" 14
"才" 14
"打" 14
"李" 14
"没" 14
"与" 13
"两个" 13
"事" 13
"令" 13
"倒" 13
"宝" 13
"宝玉" 13
"已" 13
"探" 13
"王" 13
"众人" 12
"到" 12
"取" 12
"咱们" 12
"多" 12
"大家" 12
"子" 12
"皆" 12
"至" 12
"若" 12
"谁" 12
"那" 12
"饭" 12
"什么" 11
"先" 11
"出" 11
"时" 11
"请" 11
"送" 11
"一面" 10
"于是" 10
"他们" 10
"内" 10
"叫" 10
"回" 10
"如今" 10
"将" 10
"我们" 10
"把" 10
"更" 10
"用" 10
"知" 10
"老" 10
"花" 10
"行" 10
"赦" 10
"起" 10
"那里" 10
"配" 10
"钱" 10
"不知" 9
"东西" 9
"会" 9
"住" 9
"你们" 9
"后" 9
"媳妇" 9
"往" 9
"怎么" 9
"正" 9
"没有" 9
"舅" 9
"银" 9
"一时" 8
"个" 8
"丫头" 8
"从" 8
"做" 8
"出来" 8
"别" 8
"听说" 8
"和" 8
"所以" 8
"无" 8
"病" 8
"自" 8
"诗" 8
"这个" 8
"鸳鸯" 8
"不必" 7
"不能" 7
"为" 7
"仍" 7
"众" 7
"儿" 7
"别的" 7
"可" 7
"听见" 7
"头" 7
"姑娘" 7
"射" 7
"心" 7
"快" 7
"想" 7
"捧" 7
"既" 7
"正是" 7
"毕" 7
"环" 7
"竟" 7
"答应" 7
"自己" 7
"蓉" 7
"蝶" 7
"走" 7
"过去" 7
"钗" 7
"一碗" 6
"中" 6
"二" 6
"今儿" 6
"全" 6
"况且" 6
"几个" 6
"原" 6
"向" 6
"吩咐" 6
"告诉" 6
"够" 6
"大舅" 6
"姊妹" 6
"小" 6
"少" 6
"开" 6
"意" 6
"房" 6
"故" 6
"甚" 6
"立" 6
"给" 6
"输" 6
"遂" 6
"不得" 5
"不理" 5
"云" 5
"以" 5
"偏" 5
"兰" 5
"前" 5
"却" 5
"可以" 5
"外头" 5
"娈" 5
"婆" 5
"嬷嬷" 5
"字" 5
