"词语" "次数"
"了" 124
"的" 68
"道" 66
"也" 49
"我" 45
"不" 42
"来" 41
"又" 40
"笑" 40
"吃" 38
"着" 37
"说" 33
"你" 32
"是" 32
"菊" 32
"有" 25
"人" 24
"凤" 24
"母" 24
"贾" 24
"他" 23
"这" 23
"一" 19
"儿" 19
"姐" 19
"湘云" 19
"都" 19
"去" 18
"看" 18
"等" 18
"香" 18
"就" 17
"上" 16
"在" 16
"好" 16
"宝玉" 16
"一个" 15
"秋" 15
"忙" 14
"拿" 14
"玉" 14
"螃蟹" 14
"那" 14
"众人" 13
"宝" 13
"霜" 13
"黛" 13
"便" 12
"坐" 12
"要" 12
"诗" 12
"鸳鸯" 12
"作" 11
"还" 11
"酒" 11
"钗" 11
"一回" 10
"下" 10
"冷" 10
"出" 10
"因" 10
"把" 10
"无" 10
"篱" 10
"让" 10
"吟" 9
"和" 9
"对" 9
"平" 9
"李" 9
"知" 9
"纨" 9
"谁" 9
"走" 9
"二" 8
"令" 8
"只" 8
"可" 8
"听" 8
"多" 8
"大" 8
"子" 8
"才" 8
"梦" 8
"花" 8
"个" 7
"你们" 7
"写" 7
"出来" 7
"呢" 7
"喜" 7
"夫人" 7
"头" 7
"字" 7
"抹" 7
"月" 7
"水" 7
"湘" 7
"王" 7
"这样" 7
"问" 7
"丫头" 6
"中" 6
"什么" 6
"供" 6
"倒" 6
"圃" 6
"将" 6
"小" 6
"斟" 6
"时" 6
"未" 6
"桂" 6
"没" 6
"潇" 6
"笔" 6
"罢" 6
"自" 6
"至" 6
"薛" 6
"霞" 6
"一首" 5
"与" 5
"为" 5
"休" 5
"先" 5
"勾" 5
"另" 5
"只管" 5
"叫" 5
"回" 5
"大家" 5
"奶奶" 5
"姐儿" 5
"姨妈" 5
"已" 5
"开" 5
"情" 5
"我们" 5
"手" 5
"探" 5
"摆" 5
"故" 5
"春" 5
"枕" 5
"正" 5
"满" 5
"簪" 5
"老太太" 5
"茶" 5
"菊花" 5
"蘅" 5
"赘" 5
"起" 5
"过" 5
"露" 5
"风" 5
"一处" 4
"一时" 4
"一桌" 4
"一面" 4
"两个" 4
"些" 4
"从" 4
"公子" 4
"再" 4
"别" 4
"到底" 4
"前" 4
"原" 4
"史" 4
"叶" 4
"君" 4
"命" 4
"如今" 4
"妃子" 4
"姐姐" 4
"寒" 4
"带" 4
"底下" 4
"得" 4
"忆" 4
"怕" 4
"怜" 4
"惜" 4
"成" 4
"抱" 4
"放" 4
"杯" 4
"染" 4
"桂花" 4
"榭" 4
"洗" 4
"清" 4
"热" 4
"琥珀" 4
"留" 4
"种" 4
"空" 4
"竟" 4
"红" 4
"芜" 4
"莫" 4
"藕" 4
"虽" 4
"袭" 4
"见" 4
"起来" 4
"送" 4
"高兴" 4
"黄" 4
"一枝" 3
"三" 3
"上来" 3
"且" 3
"世" 3
"东西" 3
"书" 3
"亭子" 3
"今朝" 3
"们" 3
"会" 3
"傲" 3
"凭" 3
"却" 3
"口" 3
"口齿" 3
"只见" 3
"同" 3
"向" 3
"咏" 3
"喝" 3
"噙" 3
"回来" 3
"园" 3
"壳" 3
"复" 3
"外" 3
"如此" 3
"姜" 3
"完" 3
"客" 3
"寿" 3
"山坡" 3
"岂" 3
"已经" 3
"巾" 3
"应" 3
"底" 3
"座" 3
"廊" 3
"张罗" 3
"归" 3
"影" 3
"往" 3
"径" 3
"忆旧" 3
"思" 3
"恼" 3
"惯" 3
"指" 3
"接" 3
"敌" 3
"敢" 3
"散" 3
"新" 3
"旧友" 3
"明" 3
"明儿" 3
"更" 3
"替" 3
"极" 3
"林" 3
"桌子" 3
"沾" 3
"活" 3
"游" 3
"烧" 3
"烫" 3
"爱" 3
"狂" 3
"用" 3
"畔" 3
"病" 3
"盛" 3
"看来" 3
"眼" 3
"短" 3
"神" 3
"福" 3
"离" 3
"积" 3
"移" 3
"窗" 3
"窝" 3
"竹桥" 3
"答应" 3
"给" 3
"翠" 3
"老祖宗" 3
"肉" 3
"腥" 3
"膝" 3
"落" 3
"葛" 3
"蕉" 3
"蛩" 3
"螯" 3
"解" 3
"认" 3
"访" 3
"评" 3
"话" 3
"该" 3
"说道" 3
"请" 3
"赏" 3
"过来" 3
"这么" 3
"这里" 3
"远" 3
"迟" 3
"迹" 3
"那边" 3
"醋" 3
"重阳" 3
"金" 3
"闲" 3
"阴" 3
"雁" 3
"题" 3
"高" 3
"鬓" 3
"一口" 2
"一杯" 2
"一脸" 2
"上面" 2
"下来" 2
"不及" 2
"不得" 2
"不得了" 2
"不许" 2
"世人" 2
"丛" 2
"东" 2
"两" 2
"主子" 2
"云" 2
"亦" 2
"今日" 2
"仍" 2
"仍旧" 2
"仙" 2
"伺候" 2
"住" 2
"何" 2
"何处" 2
"俯" 2
"偕" 2
"光" 2
"全" 2
"公" 2
"兴" 2
"几句" 2
"凸" 2
"分" 2
"到" 2
"剥" 2
"取" 2
"取笑" 2
"叠" 2
"句" 2
"号" 2
"各" 2
"咱们" 2
"哪" 2
"喜欢" 2
"嘱咐" 2
"回头" 2
"因为" 2
"固" 2
"坐位" 2
"块" 2
"墙上" 2
"墨" 2
"声" 2
"壶" 2
"好容易" 2
"姨娘" 2
"婷" 2
"孩子" 2
"定" 2
"家" 2
"家里" 2
"封" 2
"屐" 2
"席" 2
"并" 2
"庭" 2
"开心" 2
"引" 2
"当中" 2
"待" 2
"很" 2
"心" 2
"忘" 2
"念" 2
"怡" 2
"恨" 2
"想" 2
"慰" 2
"手里" 2
"扬" 2
"折" 2
"抛" 2
"披" 2
"拍手" 2
"拣" 2
"持" 2
"挂" 2
"掇" 2
"接着" 2
"掰" 2
"提" 2
"撕" 2
"放在" 2
"斜阳" 2
"断" 2
"新奇" 2
"方才" 2
"旁边" 2
"旧" 2
"昨夜" 2
"暗" 2
"期" 2
"某人" 2
