"词语" "次数"
"了" 90
"之" 73
"的" 60
"是" 46
"不" 45
"这" 42
"道" 42
"也" 40
"村" 40
"雨" 39
"他" 38
"又" 34
"便" 32
"子" 32
"说" 30
"一" 29
"有" 29
"人" 27
"因" 27
"只" 26
"我" 25
"在" 24
"家" 22
"贾" 22
"你" 20
"兴" 19
"生" 19
"府" 18
"者" 18
"名" 17
"大" 17
"无" 17
"如" 16
"政" 16
"来" 16
"那" 16
"今" 15
"其" 15
"为" 14
"荣" 14
"一个" 13
"就" 13
"得" 13
"至" 13
"都" 13
"上" 12
"中" 12
"二" 12
"女" 12
"如今" 12
"封" 12
"时" 12
"笑" 12
"个" 11
"事" 11
"亦" 11
"公" 11
"却" 11
"字" 11
"将" 11
"所" 11
"海" 11
"甄" 11
"着" 11
"问" 11
"两个" 10
"倒" 10
"则" 10
"夫人" 10
"女儿" 10
"林" 10
"而" 10
"虽" 10
"作" 9
"到" 9
"去" 9
"学生" 9
"已" 9
"极" 9
"此" 9
"皆" 9
"竟" 9
"老爹" 9
"袭" 9
"下" 8
"不知" 8
"偶" 8
"多" 8
"忙" 8
"方" 8
"族" 8
"看" 8
"肃" 8
"自" 8
"读书" 8
"还" 8
"不能" 7
"且" 7
"世" 7
"乃" 7
"于" 7
"些" 7
"入" 7
"出" 7
"听" 7
"必" 7
"故" 7
"日" 7
"曾" 7
"本" 7
"欲" 7
"正" 7
"死" 7
"等" 7
"若" 7
"见" 7
"话" 7
"过" 7
"长" 7
"与" 6
"从" 6
"代" 6
"可知" 6
"后" 6
"奇" 6
"宁" 6
"小" 6
"小姐" 6
"尽" 6
"想" 6
"春" 6
"更" 6
"气" 6
"爷" 6
"知" 6
"老" 6
"赦" 6
"遂" 6
"云" 5
"仁" 5
"令" 5
"先" 5
"冷" 5
"出来" 5
"原来" 5
"叫" 5
"可" 5
"史" 5
"吃" 5
"同" 5
"国" 5
"太爷" 5
"好" 5
"姓" 5
"娶" 5
"官" 5
"年" 5
"恶" 5
"方才" 5
"既" 5
"最" 5
"未" 5
"正是" 5
"玉" 5
"疼" 5
"谁知" 5
"邪" 5
"金陵" 5
"长子" 5
"馆" 5
"两" 4
"他家" 4
"以" 4
"们" 4
"但" 4
"何" 4
"余" 4
"儿子" 4
"别" 4
"前" 4
"升" 4
"及" 4
"唤" 4
"喜" 4
"处" 4
"外" 4
"如何" 4
"妻" 4
"始" 4
"娇" 4
"娘子" 4
"孙" 4
"将来" 4
"成" 4
"才" 4
"把" 4
"杏" 4
"氏" 4
"深" 4
"游" 4
"灵秀" 4
"王" 4
"现" 4
"珍" 4
"盐" 4
"秉" 4
"能" 4
"要" 4
"起来" 4
"起身" 4
"这样" 4
"进" 4
"送" 4
"那些" 4
"门" 4
"一代" 3
"一辈" 3
"万" 3
"万万" 3
"三" 3
"之后" 3
"乖僻" 3
"亲" 3
"住" 3
"你们" 3
"使" 3
"侯" 3
"元" 3
"光景" 3
"兴叹" 3
"再" 3
"几个" 3
"出身" 3
"力" 3
"劫" 3
"十分" 3
"即" 3
"卿" 3
"去岁" 3
"友" 3
"可惜" 3
"可笑" 3
"呢" 3
"和" 3
"善" 3
"回" 3
"天下" 3
"天地" 3
"女婿" 3
"妙" 3
"妾" 3
"姊妹" 3
"姐妹" 3
"学" 3
"宁国" 3
"宅" 3
"守" 3
"尊" 3
"山" 3
"岂" 3
"巡" 3
"并" 3
"异" 3
"当日" 3
"待" 3
"心中" 3
"情" 3
"意" 3
"意欲" 3
"我们" 3
"所以" 3
"敏" 3
"敬" 3
"文" 3
"新" 3
"次子" 3
"母" 3
"每" 3
"比" 3
"没" 3
"没有" 3
"爱" 3
"物" 3
"琏" 3
"甚" 3
"生于" 3
"用" 3
"病" 3
"盛" 3
"相" 3
"省" 3
"真" 3
"祖母" 3
"细" 3
"罕" 3
"自己" 3
"衔" 3
"街" 3
"让" 3
"说来" 3
"谁" 3
"近日" 3
"进去" 3
"那年" 3
"那里" 3
"酒" 3
"错" 3
"门前" 3
"非" 3
"面" 3
"风" 3
"香" 3
"一件" 2
"一位" 2
"一味" 2
"一年" 2
"一月" 2
"一样" 2
"一面" 2
"上下" 2
"不可" 2
"不容" 2
"不料" 2
"不然" 2
"不错" 2
"东" 2
"两句" 2
"两日" 2
"两门" 2
"丫鬟" 2
"主" 2
"乐" 2
"乘" 2
"也罢" 2
"书" 2
"于是" 2
"人氏" 2
"什么" 2
"今日" 2
"仍" 2
"以来" 2
"优" 2
"伤" 2
"伤感" 2
"位" 2
"信" 2
"做" 2
"僧" 2
"儿" 2
"兆" 2
"公子" 2
"内" 2
"几" 2
"几杯" 2
"凡" 2
"刘" 2
"别人" 2
"制" 2
"劳" 2
"化" 2
"却说" 2
"原籍" 2
"参" 2
"发" 2
"变" 2
"另" 2
"只见" 2
"只顾" 2
"各" 2
"各省" 2
"后来" 2
"向" 2
"周" 2
"命" 2
"唐" 2
"喜悦" 2
"四个" 2
"回头" 2
"回来" 2
"因此" 2
"地" 2
"城" 2
"堪" 2
"士" 2
"复" 2
"天" 2
"奇异" 2
"奇遇" 2
"奉" 2
"好笑" 2
"如此" 2
"妹妹" 2
"姐姐" 2
"嫡" 2
"孩子" 2
"安" 2
"宗" 2
"官员" 2
"宝玉" 2
"密" 2
"富" 2
"对" 2
"寺" 2
"寻" 2
"少" 2
"尚" 2
"属" 2
"岁" 2
"工" 2
"帐" 2
"应" 2
"应运而生" 2
"座" 2
"异常" 2
"弟" 2
"当" 2
"御" 2
"德" 2
"心里" 2
"忽" 2
"怒" 2
"急" 2
"怪" 2
"怯弱" 2
"恩" 2
"感" 2
"或" 2
"打" 2
"托" 2
"承" 2
"探" 2
"支" 2
"敝" 2
"新闻" 2
"旧" 2
"旧日" 2
"明" 2
"月" 2
"有人" 2
"有余" 2
"望" 2
"朝" 2
"期" 2
"来历" 2
"来往" 2
"概" 2
"止" 2
"步" 2
"残忍" 2
"水" 2
"汤" 2
"治" 2
"沽" 2
"浊" 2
"清明" 2
"温" 2
"游览" 2
"漫" 2
"点" 2
"然" 2
"父亲" 2
"环" 2
"现有" 2
"珍宝" 2
"男人" 2
"男子" 2
"留" 2
"疏" 2
"疾" 2
"百" 2
"皇" 2
"眼前" 2
"矣" 2
"祖父" 2
"祚" 2
"科" 2
"秦" 2
"移" 2
"端" 2
"算" 2
"系" 2
"红" 2
"缘" 2
"老先生" 2
"聪明" 2
"肆" 2
"肯" 2
"胞妹" 2
"胡" 2
"舌" 2
"色" 2
"色鬼" 2
"花" 2
"茶" 2
"荡" 2
"萧" 2
"落" 2
"被" 2
"西" 2
"觉" 2
"解" 2
"言谈" 2
"许多" 2
"论" 2
"识" 2
"诗书" 2
"说话" 2
"谋" 2
"谢" 2
"谬" 2
"败" 2
"贯" 2
"贵" 2
"赋" 2
"赠" 2
"走" 2
"跟" 2
"身体" 2
"辞" 2
"运" 2
"还有" 2
"进士" 2
"远" 2
"选" 2
"通" 2
"遇" 2
"遗" 2
"邪气" 2
"酷" 2
"里面" 2
"钟" 2
"银子" 2
"闲" 2
"闻" 2
"陪" 2
"隆" 2
"革职" 2
"顾" 2
"额外" 2
"饮" 2
"骨肉" 2
"齿" 2
"龙" 2
"一一" 1
"一丝" 1
"一个三岁" 1
"一二年" 1
"一二笔" 1
"一副" 1
"一力" 1
"一句" 1
"一回" 1
"一块" 1
"一声" 1
"一处" 1
"一封" 1
"一局" 1
"一带" 1
"一心" 1
"一支" 1
"一日" 1
"一本" 1
"一杯" 1
"一概" 1
"一派" 1
"一点" 1
"一着" 1
"一路" 1
"一载" 1
"七八岁" 1
"三个" 1
"三杯" 1
"上司" 1
"上学" 1
"上月" 1
"上来" 1
"上面" 1
"下世" 1
"下落" 1
"下酒" 1
"不免" 1
"不凡" 1
"不及" 1
"不同" 1
"不善" 1
"不堪" 1
"不如" 1
"不妨" 1
"不明" 1
"不曾" 1
"不比" 1
"不用" 1
"不管" 1
"不耐烦" 1
"不足" 1
"不过" 1
"不近人情" 1
"世上" 1
"世交" 1
"业" 1
"业经" 1
"东家" 1
"东汉" 1
"丢" 1
"两家" 1
"两封" 1
"两年" 1
"两种" 1
"丧" 1
"个个" 1
"丫头" 1
"临终" 1
"临走" 1
"丹" 1
"主仆" 1
"举" 1
"举止" 1
"乃是" 1
"么" 1
"之上" 1
"之下" 1
"之中" 1
"之内" 1
"乖觉" 1
"习" 1
"书香" 1
"买" 1
"乱" 1
"乱叫" 1
"乱跑" 1
"乳名" 1
"事务" 1
"二两" 1
"二十" 1
"二十岁" 1
"二年" 1
"二房" 1
"亏" 1
"五" 1
"五岁" 1
"五彩" 1
"亡故" 1
"交代" 1
"亲热" 1
"亲见" 1
"人丁" 1
"人口" 1
"人物" 1
"仁人君子" 1
"仆" 1
"今年" 1
"从此" 1
"仔细" 1
"仕" 1
"仙逝" 1
"令尊" 1
"休" 1
"众人" 1
"会" 1
"传唤" 1
"伯" 1
"伴" 1
"伴读" 1
"伶" 1
"伸手" 1
"似" 1
"体" 1
"何不" 1
"何妨" 1
"何日" 1
"作为" 1
"作成" 1
"侍" 1
"依" 1
"侧目而视" 1
"侮" 1
"俊" 1
"俗套" 1
"信步" 1
"俭" 1
"修" 1
"俱" 1
"倒退" 1
"借" 1
"倡" 1
"倦" 1
"倪" 1
"值" 1
"倾" 1
"假" 1
"假充" 1
"偏" 1
"做官" 1
"健" 1
"偶然" 1
"偶遇" 1
"催" 1
"僵" 1
"儿孙" 1
"兄" 1
"兄弟" 1
"充塞" 1
"先生" 1
"光天化日" 1
"光阴" 1
"全" 1
"八九" 1
"八九岁" 1
"公事" 1
"公人" 1
"公差" 1
"六朝" 1
"兰" 1
"共" 1
"关" 1
"兴盛" 1
"兴衰" 1
"其中" 1
"其意" 1
"养" 1
"养子" 1
"内侄女" 1
"册" 1
"再说" 1
"写字" 1
"冷眼" 1
"冷笑" 1
"冷落" 1
"减" 1
"凝结" 1
"几次" 1
"几门" 1
"凶" 1
"出家" 1
"凿" 1
"列" 1
"初一" 1
"到任" 1
"到家" 1
"到底" 1
"刹" 1
"前科" 1
"前言" 1
"剩" 1
"功" 1
"加" 1
"加以" 1
"务必" 1
"劣" 1
"助" 1
"勋" 1
"十六岁" 1
"十六日" 1
"十四岁" 1
"半" 1
"半缕" 1
"半载" 1
"卓" 1
"南宫" 1
"占" 1
"危" 1
"即时" 1
"厅" 1
"历年" 1
"厉" 1
"原" 1
"原故" 1
"去世" 1
"去年" 1
"及至" 1
"发泄" 1
"叔" 1
"取" 1
"取名" 1
"取笑" 1
"叙" 1
"口" 1
"口才" 1
"口臭" 1
"古人" 1
"古董" 1
"另外" 1
"只怕" 1
"只管" 1
"叫作" 1
"召" 1
"可是" 1
"台" 1
"号" 1
"叹" 1
"叹息" 1
"合" 1
"同姓" 1
"同宗" 1
"同胞" 1
"名叫" 1
"名山" 1
"后面" 1
"君" 1
"听见" 1
"听说" 1
"启" 1
"启蒙" 1
"告诉" 1
"员外" 1
"周岁" 1
"命中" 1
"命根" 1
"命运" 1
"和平" 1
"和风" 1
"咱" 1
"哀" 1
"哀痛" 1
"唐突" 1
"嘴里" 1
"嘻笑" 1
"嚷" 1
"囊" 1
"四" 1
"四匹" 1
"四十" 1
"四海" 1
"回去" 1
"回答" 1
"回话" 1
"回顾" 1
"因而" 1
"园子" 1
"围墙" 1
"图" 1
"在意" 1
"地方" 1
"地界" 1
"地面" 1
"坐" 1
"垣" 1
"城内" 1
"城外" 1
"堂" 1
"境" 1
"墙" 1
"壑" 1
"外孙" 1
"外面" 1
"多事" 1
"多寡" 1
"夜" 1
"大事" 1
"大半条" 1
"大夫" 1
"大家" 1
"大年初一" 1
"大笑" 1
"大约" 1
"大门" 1
"太" 1
"太君" 1
"太平" 1
"夫妻" 1
"失" 1
"头胎" 1
"奇怪" 1
"奈" 1
"奉承" 1
"契合" 1
"女史" 1
"女子" 1
"好歹" 1
"妒" 1
"妥协" 1
"姑苏" 1
"姬" 1
"婿" 1
"嫡派" 1
"子孙" 1
"子弟" 1
"孔" 1
"字样" 1
"字迹" 1
"孝" 1
"孟" 1
"安排" 1
"安身" 1
"宋" 1
"官倒" 1
"宝号" 1
"客" 1
"室" 1
"宦" 1
"宫" 1
"家人" 1
"家务" 1
"家小" 1
"宾" 1
"宿" 1
"寄" 1
"富贵" 1
"寒" 1
"寒门" 1
"对联" 1
"对证" 1
"寻访" 1
"射" 1
"尊贵" 1
"小事" 1
"小人" 1
"小厮" 1
"小小" 1
"少有" 1
"尤" 1
"尧" 1
"屁滚尿流" 1
"居" 1
"居住" 1
"山石" 1
"峥嵘" 1
"峻" 1
"崔" 1
"嵇" 1
"州" 1
"巧遇" 1
"巴不得" 1
"巷" 1
"师" 1
"师长" 1
"带" 1
"席" 1
"帮" 1
"常" 1
"幡" 1
"平常" 1
"幸" 1
"幸而" 1
"床" 1
"底" 1
"庙宇" 1
"度" 1
"庭" 1
"庶" 1
"庶出" 1
"康" 1
"庸人" 1
"异样" 1
"弄" 1
"弊" 1
"式" 1
"引见" 1
"弟兄" 1
"张" 1
"弱" 1
"归" 1
"当今" 1
"役" 1
"彼" 1
"往" 1
"徒" 1
"得意" 1
"得来" 1
"徽" 1
"心上" 1
"心机" 1
"必须" 1
"志向" 1
"忘" 1
"快" 1
"念" 1
"态" 1
"怕" 1
"怨" 1
"总裁" 1
"恃" 1
"恤" 1
"恨" 1
"恭喜" 1
"悟" 1
"惊慌" 1
"惜" 1
"惭" 1
"想到" 1
"愈" 1
"意料" 1
"愧" 1
"慢慢" 1
"憨痴" 1
"房" 1
"所有" 1
"才干" 1
"扬" 1
"扬州" 1
"扶" 1
"批" 1
"找" 1
"抓" 1
