"词语" "次数"
"之" 69
"宝玉" 64
"的" 59
"有" 57
"了" 56
"是" 51
"人" 42
"又" 42
"一" 40
"道" 39
"来" 35
"看" 30
"着" 30
"其" 29
"不" 28
"中" 26
"云" 26
"也" 25
"在" 25
"便" 23
"幻" 23
"那" 23
"此" 22
"警" 22
"上" 21
"我" 21
"说" 21
"皆" 20
"为" 19
"见" 19
"可" 18
"无" 18
"春" 18
"玉" 18
"画" 18
"何" 17
"听" 17
"因" 17
"情" 17
"自" 17
"去" 15
"如" 15
"这" 15
"仙姑" 14
"兮" 14
"氏" 14
"淫" 14
"一个" 13
"二" 13
"则" 13
"好" 13
"宝" 13
"所" 13
"时" 13
"秦" 13
"若" 13
"随" 13
"下" 12
"不知" 12
"仙" 12
"以" 12
"似" 12
"只" 12
"司" 12
"后面" 12
"将" 12
"得" 12
"黛" 12
"与" 11
"亦" 11
"他" 11
"册" 11
"再" 11
"吾" 11
"天" 11
"家" 11
"尽" 11
"更" 11
"梦" 11
"笑" 11
"香" 11
"写" 10
"同" 10
"喜" 10
"意" 10
"欲" 10
"生" 10
"美" 10
"者" 10
"花" 10
"过" 10
"钗" 10
"高" 10
"个" 9
"今" 9
"别" 9
"叹" 9
"各" 9
"大" 9
"女子" 9
"就" 9
"彼" 9
"故" 9
"歌" 9
"真" 9
"至" 9
"荣" 9
"贾" 9
"这里" 9
"乃" 8
"于" 8
"从" 8
"但" 8
"儿" 8
"出" 8
"卿" 8
"多" 8
"宁" 8
"府" 8
"忙" 8
"知" 8
"终" 8
"而" 8
"问" 8
"世" 7
"先" 7
"入" 7
"内" 7
"后" 7
"向" 7
"命" 7
"字" 7
"对联" 7
"小" 7
"引" 7
"忽" 7
"把" 7
"散" 7
"曲" 7
"月" 7
"木" 7
"枉" 7
"母" 7
"水" 7
"矣" 7
"空" 7
"等" 7
"能" 7
"谁" 7
"还" 7
"那里" 7
"金" 7
"雪" 7
"三" 6
"书" 6
"作" 6
"华" 6
"只见" 6
"堪" 6
"太" 6
"尔" 6
"往" 6
"心" 6
