"词语" "次数"
"了" 183
"的" 122
"宝玉" 85
"来" 72
"他" 67
"我" 67
"道" 64
"着" 50
"你" 49
"说" 48
"不" 46
"吃" 46
"又" 44
"是" 42
"笑" 41
"去" 37
"也" 34
"上" 32
"在" 31
"好" 29
"人" 28
"因" 28
"玉" 28
"那" 28
"一" 27
"就" 27
"儿" 26
"姨妈" 26
"便" 25
"只" 25
"黛" 25
"宝" 24
"有" 24
"这" 23
"薛" 22
"呢" 21
"贾" 21
"问" 21
"一面" 20
"见" 20
"钗" 20
"还" 19
"都" 19
"听" 18
"忙" 18
"罢" 17
"茶" 17
"母" 16
"倒" 15
"嬷嬷" 15
"李" 15
"秦" 15
"大" 14
"看" 14
"等" 14
"与" 13
"什么" 13
"可" 13
"和" 13
"这里" 13
"一个" 12
"下" 12
"小" 12
"走" 12
"酒" 12
"钟" 12
"之" 11
"从" 11
"们" 11
"命" 11
"姐姐" 11
"方" 11
"要" 11
"过" 11
"雪" 11
"中" 10
"别" 10
"子" 10
"字" 10
"知" 10
"话" 10
"二" 9
"众人" 9
"冷" 9
"叫" 9
"家" 9
"时" 9
"林" 9
"至" 9
"那里" 9
"丫头" 8
"事" 8
"云" 8
"些" 8
"多" 8
"怎么" 8
"想" 8
"我们" 8
"才" 8
"给" 8
"说道" 8
"香" 8
"再" 7
"写" 7
"头" 7
"已" 7
"手" 7
"无" 7
"未" 7
"若" 7
"这个" 7
"个" 6
"丫鬟" 6
"作" 6
"先" 6
"凤" 6
"出来" 6
"后" 6
"向" 6
"回" 6
"坐" 6
"得" 6
"快" 6
"怕" 6
"日" 6
"早" 6
"比" 6
"没" 6
"留" 6
"老太太" 6
"自己" 6
"色" 6
"袭" 6
"让" 6
"送" 6
"遂" 6
"金" 6
"三个" 5
"亦" 5
"今" 5
"会" 5
"住" 5
"使" 5
"内" 5
"只见" 5
"嘻" 5
"太" 5
"奶奶" 5
"如" 5
"妈妈" 5
"姐" 5
"将" 5
"带" 5
"戴" 5
"拿" 5
"新" 5
"早起" 5
"晴" 5
"最" 5
"此" 5
"茜" 5
"莫" 5
"请" 5
"贴" 5
"跟" 5
"过去" 5
"这么" 5
"这话" 5
"进来" 5
"醉" 5
"里" 5
"雯" 5
"饭" 5
"一日" 4
"不知" 4
"不过" 4
"两句" 4
"为" 4
"今儿" 4
"你们" 4
