"词语" "次数"
"了" 183
"的" 94
"不" 88
"贾" 87
"说" 85
"他" 82
"姐" 82
"又" 66
"人" 60
"是" 58
"我" 55
"来" 54
"去" 52
"二" 51
"凤" 50
"你" 49
"琏" 44
"只" 37
"也" 36
"尤" 36
"着" 34
"儿" 32
"便" 30
"有" 29
"之" 28
"听" 28
"好" 28
"见" 27
"母" 25
"一" 23
"桐" 23
"秋" 23
"命" 22
"在" 22
"要" 22
"和" 20
"还" 20
"个" 19
"将" 19
"没" 19
"与" 18
"张" 18
"这" 18
"华" 17
"大" 17
"平" 17
"中" 16
"回" 16
"已" 16
"得" 16
"无" 16
"死" 16
"都" 16
"银子" 16
"出" 15
"那" 15
"出来" 14
"哭" 14
"生" 14
"等" 14
"自己" 14
"道" 14
"作" 13
"再" 13
"奶奶" 13
"过" 13
"忙" 12
"敢" 12
"方" 12
"下" 11
"姐姐" 11
"就" 11
"房" 11
"打" 11
"看" 11
"笑" 11
"且" 10
"为" 10
"们" 10
"倒" 10
"吃" 10
"夫人" 10
"岂" 10
"拿" 10
"既" 10
"病" 10
"若" 10
"请" 10
"进来" 10
"骂" 10
"上" 9
"亦" 9
"使" 9
"先" 9
"到" 9
"原" 9
"因" 9
"想" 9
"时" 9
"王" 9
"胡" 9
"起来" 9
"于是" 8
"做" 8
"告" 8
"回来" 8
"定" 8
"往" 8
"心" 8
"或" 8
"暗" 8
"氏" 8
"气" 8
"皆" 8
"过来" 8
"这样" 8
"一个" 7
"一面" 7
"什么" 7
"君" 7
"告诉" 7
"家" 7
"寻" 7
"所" 7
"比" 7
"自" 7
"荣" 7
"蓉" 7
"话" 7
"这里" 7
"问" 7
"院" 7
"不知" 6
"丫鬟" 6
"事" 6
"些" 6
"众人" 6
"住" 6
"其" 6
"内" 6
"劝" 6
"却" 6
"外" 6
"如" 6
"姐儿" 6
"孩子" 6
"小" 6
"开" 6
"弄" 6
"心中" 6
"恨" 6
"然" 6
"爷" 6
"用" 6
"瞧" 6
"礼" 6
"系" 6
"送" 6
"主意" 5
"于" 5
"亲" 5
"从" 5
"信" 5
"冲" 5
"别" 5
"只得" 5
"因此" 5
"园" 5
"外头" 5
"多" 5
"天" 5
"太太" 5
"如今" 5
"如此" 5
"姓" 5
"带" 5
"并" 5
"应" 5
"怎" 5
"成" 5
"抬" 5
"指" 5
"推" 5
"日" 5
"更" 5
"此" 5
"父亲" 5
"理" 5
"知" 5
"而" 5
"虽" 5
"谁" 5
"赦" 5
"走" 5
"起" 5
"邢" 5
"那里" 5
"金" 5
"一时" 4
"不能" 4
"丧" 4
"丫头" 4
"乐" 4
"何必" 4
"养" 4
"几个" 4
"受" 4
"叫" 4
"可" 4
"可怜" 4
"后" 4
"圆" 4
"处" 4
"太" 4
"妹妹" 4
"妹子" 4
"媳妇" 4
"少不得" 4
"常" 4
"怎么" 4
"急" 4
"拉" 4
"收" 4
"断" 4
"查" 4
"梨" 4
"正" 4
"毕" 4
"水" 4
"泣" 4
"珍" 4
"穿" 4
"给" 4
"老祖宗" 4
"至" 4
"药" 4
"行" 4
"谁知" 4
"赏" 4
"这些" 4
"这话" 4
"连" 4
"退" 4
"那边" 4
"领" 4
"香" 4
"一同" 3
"一场" 3
"一遍" 3
"三日" 3
"下去" 3
"不得" 3
"不禁" 3
"两个" 3
"习" 3
"乱" 3
"二房" 3
"亏" 3
"人家" 3
"今日" 3
"令" 3
"众" 3
"伤" 3
"伤心" 3
"你们" 3
"依" 3
"俊" 3
"借" 3
"偷" 3
"况" 3
"准" 3
"出去" 3
"刺" 3
"剑" 3
"医生" 3
"十分" 3
"反" 3
"发" 3
"口" 3
"吞" 3
"听见" 3
"听说" 3
"呢" 3
"咱们" 3
"喜" 3
"在家" 3
"墙" 3
"声" 3
"天文" 3
"太医" 3
"头" 3
"好生" 3
"妇" 3
"姊妹" 3
"娶" 3
"容" 3
"察" 3
"对" 3
"干净" 3
"必" 3
"怜" 3
"意" 3
"或是" 3
"手" 3
"才" 3
"找" 3
"把" 3
"报" 3
"拆" 3
"拜" 3
"接" 3
"掩" 3
"撵" 3
"早" 3
"暗暗" 3
"替" 3
"月" 3
"有些" 3
"未免" 3
"治" 3
"混" 3
"烧" 3
"父子" 3
"现" 3
"相" 3
"眼" 3
"知道" 3
"福" 3
"竟" 3
"素" 3
"经" 3
"罢" 3
"老子" 3
"胎气" 3
"脸" 3
"自此" 3
"花" 3
"茶饭" 3
"血" 3
"衾" 3
"观" 3
"言" 3
"语" 3
"调" 3
"贤良" 3
"赶" 3
"身上" 3
"进" 3
"逃" 3
"递" 3
"通" 3
"遣" 3
"鸳鸯" 3
"一回" 2
"一年" 2
"一心" 2
"一月" 2
"一条" 2
"一次" 2
"一点" 2
"一生" 2
"七日" 2
"三" 2
"上去" 2
"上来" 2
"下来" 2
"不免" 2
"不如" 2
"不尽" 2
"不明" 2
"不止" 2
"不过" 2
"丢" 2
"五更" 2
"亲家母" 2
"人口" 2
"今" 2
"以来" 2
"休" 2
"会" 2
"伴" 2
"但" 2
"体统" 2
"何" 2
"偏" 2
"停" 2
"允" 2
"兔" 2
"写" 2
"则" 2
"前" 2
"办" 2
"包" 2
"医治" 2
"十倍" 2
"半" 2
"南" 2
"厢房" 2
"叙" 2
"叩头" 2
"只好" 2
"可是" 2
"合" 2
"名声" 2
"吓" 2
"咬" 2
"哄" 2
"唤" 2
"喜欢" 2
"嘴" 2
"回去" 2
"坏" 2
"坐" 2
"坑" 2
"复" 2
"多少" 2
"夜" 2
"大家" 2
"大观园" 2
"女" 2
"奸" 2
"好意" 2
"如何" 2
"如此这般" 2
"妒" 2
"妾" 2
"子" 2
"孝" 2
"宅" 2
"安生" 2
"完事" 2
"官" 2
"实" 2
"家里" 2
"小厮" 2
"小妹" 2
"属" 2
"帐子" 2
"干" 2
"庆" 2
"强" 2
"当" 2
"当下" 2
"当然" 2
"形" 2
"待" 2
"很" 2
"得意" 2
"怀" 2
"怀胎" 2
"怒" 2
"悄" 2
"悄悄" 2
"悄悄的" 2
"惧" 2
"惹" 2
"愈" 2
"慌" 2
"我们" 2
"打听" 2
"抓" 2
"挪" 2
"排解" 2
"揭" 2
"搂" 2
"数" 2
"料理" 2
"新" 2
"方可" 2
"族" 2
"无不" 2
"无法" 2
"旧" 2
"旺" 2
"晚间" 2
"曾" 2
"木" 2
"未" 2
"杀" 2
"杀人" 2
"板" 2
"某人" 2
"柜" 2
"榻" 2
"正是" 2
"此事" 2
"每" 2
"汤" 2
"没有" 2
"泪" 2
"活" 2
"淫" 2
"深" 2
"添" 2
"渐次" 2
"灵" 2
"炕" 2
"烂" 2
"猫" 2
"琥珀" 2
"由" 2
"男" 2
"界" 2
"痴" 2
"直" 2
"看看" 2
"真" 2
"眼镜" 2
"瞧瞧" 2
"穷" 2
"穿戴" 2
"算命" 2
"箱" 2
"细" 2
"细细的" 2
"终" 2
"绰" 2
"老太太" 2
"者" 2
"肝" 2
"肯" 2
"胎" 2
"脸上" 2
"致" 2
"菜" 2
"衣服" 2
"装" 2
"裙子" 2
"讨" 2
"让" 2
"许多" 2
"该" 2
"谁家" 2
"调唆" 2
"跌" 2
"跟" 2
"躲" 2
"软" 2
"辞" 2
"迂" 2
"这个" 2
"这般" 2
"进去" 2
"逃走" 2
"道理" 2
"里" 2
"银" 2
"闻" 2
"限" 2
"除" 2
"陪" 2
"随" 2
"露出" 2
"饭" 2
"鸡" 2
"齐" 2
"一一" 1
"一个十七岁" 1
"一个月" 1
"一五一十" 1
"一些" 1
"一副" 1
"一块" 1
"一处" 1
"一对" 1
"一年半载" 1
"一方" 1
"一无所知" 1
"一日" 1
"一样" 1
"一滴" 1
"一片" 1
"一百两" 1
"一阵" 1
"一顿" 1
"一齐" 1
"三分" 1
"三夜" 1
"三月" 1
"三百" 1
"上下" 1
"上吊" 1
"下手" 1
"下药" 1
"下葬" 1
"不休" 1
"不依" 1
"不堪" 1
"不妥" 1
"不容" 1
"不必" 1
"不怕" 1
"不才" 1
"不曾" 1
"不然" 1
"不犯" 1
"不知好歹" 1
"不行" 1
"不要" 1
"不见" 1
"不觉" 1
"不许" 1
"不轨" 1
"专" 1
"两" 1
"两全" 1
"两处" 1
"两边" 1
"两遍" 1
"丧命" 1
"丧礼" 1
"中人" 1
"中用" 1
"丸" 1
"主人" 1
"乖" 1
"九天" 1
"买" 1
"争" 1
"二三十两" 1
"二百两一包" 1
"二门" 1
"亏了" 1
"五" 1
"五七" 1
"五七日" 1
"五日" 1
"五百两" 1
"井水" 1
"交还" 1
"京" 1
"亭" 1
"亲事" 1
"亲戚" 1
"人命关天" 1
"人心" 1
"今年" 1
"仍" 1
"从小" 1
"从没" 1
"他因" 1
"付与" 1
"以" 1
"以下" 1
"仰" 1
"价" 1
"会意" 1
"传" 1
"伦" 1
"伸出" 1
"似" 1
"位" 1
"何况" 1
"何干" 1
"余" 1
"佛事" 1
"作呕" 1
"你家" 1
"使不得" 1
"例" 1
"侧" 1
"俏" 1
"保" 1
"保住" 1
"倒好" 1
"倘" 1
"倘或" 1
"债务" 1
"假意" 1
"做梦" 1
"停放" 1
"停灵" 1
"僭" 1
"元气" 1
"兄弟" 1
"先生" 1
"入口" 1
"入殓" 1
"全" 1
"八个" 1
"八九" 1
"八哥" 1
"共" 1
"养病" 1
"再见" 1
"军" 1
"冤" 1
"冲犯" 1
"况且" 1
"凑巧" 1
"凝结" 1
"几两" 1
"几件" 1
"几句" 1
"几日" 1
"几次" 1
"凭" 1
"出口" 1
"出手" 1
"出迎" 1
"刀" 1
"刁民" 1
"分" 1
"分派" 1
"别人" 1
"别处" 1
"到手" 1
"剂" 1
"前来" 1
"剪草除根" 1
"力" 1
"务" 1
"动" 1
"势" 1
"包袱" 1
"北" 1
"医" 1
"医道" 1
"十两" 1
"十二日" 1
"十几" 1
"半夜" 1
"半年" 1
"半日" 1
"半死" 1
"卒" 1
"单" 1
"单一" 1
"卖俏" 1
"占" 1
"卦" 1
"卯" 1
"即" 1
"即刻" 1
"卷" 1
"原人" 1
"原先" 1
"原委" 1
"原故" 1
"原籍" 1
"厨" 1
"及" 1
"发落" 1
"叔" 1
"叔叔" 1
"受胎" 1
"口供" 1
"另" 1
"只怕" 1
"只是" 1
"只求" 1
"只管" 1
"只要" 1
"只见" 1
"可以" 1
"可巧" 1
"可望" 1
"可见" 1
"号" 1
"吃醋" 1
"吃饭" 1
"同" 1
"名" 1
"名叫" 1
"名誉" 1
"后来" 1
"后门" 1
"向" 1
"含泪" 1
"命中" 1
"和美" 1
"咒" 1
"咽" 1
"品行" 1
"哭泣" 1
"唬" 1
"商议" 1
"喊叫" 1
"嘱咐" 1
"嘲" 1
"嚼" 1
"四" 1
"四肢" 1
"回家" 1
"因由" 1
"围" 1
"在世" 1
"在先" 1
"在内" 1
"地" 1
"地上" 1
"地界" 1
"场" 1
"坎儿" 1
"坛" 1
"坠" 1
"垂" 1
"埋" 1
"堂" 1
"墙上" 1
"墙根" 1
"声名" 1
"外人" 1
"外面" 1
"多亏" 1
"多重" 1
"大事" 1
"大人" 1
"大吉" 1
"大夫" 1
"大胆" 1
"大量" 1
"大门" 1
"天地" 1
"天天" 1
"天日" 1
"天网恢恢" 1
"天道" 1
"夫" 1
"夫妻" 1
"奔" 1
"套话" 1
"女人" 1
"奴" 1
"奴才" 1
"好听" 1
"好容易" 1
"好性" 1
"好歹" 1
"好笑" 1
"妄" 1
"妥当" 1
"妹" 1
"妻" 1
"姊" 1
"姐夫" 1
"姨娘" 1
"姬" 1
"威" 1
"威风" 1
"娇" 1
"娼妇" 1
"婆婆" 1
"嫁" 1
"嫂子" 1
"嫉妒" 1
"嫌" 1
"存" 1
"孩儿" 1
"守灵" 1
"安" 1
"安家" 1
"安息" 1
"安身" 1
"完" 1
"完毕" 1
"宗祠" 1
"官府" 1
"宝" 1
"宝剑" 1
"宝玉" 1
"实在" 1
"害" 1
"家中" 1
"家兄" 1
"家常" 1
"容颜" 1
"宽" 1
"宿" 1
"寅时" 1
"寒" 1
"对证" 1
"寺" 1
"封" 1
"封锁" 1
"小媳妇" 1
"尸" 1
"尽心" 1
"居" 1
"屋里" 1
"展" 1
"山" 1
"巧" 1
"己" 1
"希罕" 1
"帐" 1
"带回" 1
"干事" 1
"干柴" 1
"平空" 1
"年轻" 1
"年迈" 1
"并行" 1
"幸而" 1
"幺" 1
"幻" 1
"店" 1
"庚" 1
"庶" 1
"开恩" 1
"张口" 1
"弱" 1
"强占" 1
"归" 1
"往日" 1
"必定" 1
"忌" 1
"忍" 1
"忍耐" 1
"忧虑" 1
"快" 1
"念" 1
"念佛" 1
"忽" 1
"忽略" 1
"怕" 1
"怜惜" 1
"思" 1
"性" 1
"怨" 1
"恐" 1
"恤" 1
"恩德" 1
"恹恹" 1
"恼" 1
"悔" 1
"悔过自新" 1
"悬" 1
"悯" 1
"情" 1
"惊醒" 1
"惜" 1
"惟" 1
"惧怕" 1
"感谢" 1
"愧" 1
"愧色" 1
"愿" 1
"慈心" 1
"懒" 1
"戏" 1
"成天" 1
"截" 1
"戴" 1
"房子" 1
"房门" 1
"打下" 1
"打发" 1
"打官司" 1
"打开" 1
"打点" 1
"执" 1
"扯谎" 1
"批" 1
"批准" 1
"投" 1
"折" 1
"报仇" 1
"抱怨" 1
"抹" 1
"抽头" 1
"抿" 1
"拃" 1
"担心" 1
"拖欠" 1
"拣" 1
"指腹为婚" 1
"按" 1
"挣" 1
"换" 1
"捧" 1
"掀起" 1
"接到" 1
"接风" 1
"掩埋" 1
"揉" 1
"提" 1
"搀杂" 1
"搭棚" 1
"摆" 1
"摘" 1
"撒" 1
"撞见" 1
"擅" 1
"收心" 1
"收拾" 1
"放" 1
"放在眼里" 1
"放心" 1
"故" 1
"故意" 1
"效力" 1
"数落" 1
"敲" 1
"整整" 1
"斗" 1
"料" 1
"斩" 1
"断乎" 1
"新房" 1
"旁" 1
"旁边" 1
"无可" 1
"无妨" 1
"无心" 1
"无赖" 1
"日久天长" 1
"日出" 1
"日常" 1
"早已" 1
"早晨" 1
"时常" 1
"明" 1
"明人" 1
"明年" 1
"明日" 1
"昏愦" 1
"昏迷" 1
"春" 1
"昨" 1
"晚" 1
"暂且" 1
"暗中" 1
"最" 1
"有人" 1
"有所" 1
"有时" 1
"服" 1
"期" 1
"未曾" 1
"未来" 1
"本事" 1
"本来" 1
"杀戮" 1
"杂种" 1
"李" 1
"来回" 1
"来生" 1
"果" 1
"某年" 1
"标致" 1
"样" 1
"根底" 1
"案" 1
"桑" 1
"梦" 1
"梯" 1
"梳洗" 1
"棉花" 1
"棺椁" 1
"榜" 1
"槐" 1
"槛" 1
"欠" 1
"次" 1
"次日" 1
"欢喜" 1
"歇" 1
"止" 1
"正值" 1
"正房" 1
"死去" 1
"殃" 1
"母亲" 1
"每日" 1
"气恼" 1
"气色" 1
"气血" 1
"求" 1
"汉子" 1
"沙子" 1
"没准" 1
"没错" 1
"河水" 1
"治家" 1
"法" 1
"洒泪" 1
"洪" 1
"洪大" 1
"浪" 1
"浸" 1
"消息" 1
"淌" 1
"淡" 1
"深知" 1
"渐渐" 1
"温" 1
"温和" 1
"滴" 1
"漆" 1
"漏" 1
"点" 1
"烈火" 1
"烦" 1
"烦恼" 1
"烧香" 1
"然后" 1
"煎" 1
"照应" 1
"燕尔新婚" 1
"爱" 1
"爷们" 1
"牙" 1
"物" 1
"犯" 1
"状子" 1
"狗" 1
"狠命" 1
"狠心" 1
"狡" 1
"独" 1
"瓜葛" 1
"甚至于" 1
"生前" 1
"生成" 1
"生火" 1
"由头" 1
"男子" 1
"留下" 1
"留心" 1
"畜生" 1
"略" 1
"疏" 1
"病人" 1
"痨病" 1
"痴心" 1
"瘦" 1
"白" 1
"白白" 1
"百" 1
"盖" 1
"盛" 1
"眉" 1
"眉来眼去" 1
"看见" 1
"真是" 1
"眼红" 1
"眼里" 1
"着眼" 1
"睡" 1
"瞎" 1
"瞒" 1
"知事" 1
"知心" 1
"破土" 1
"硬" 1
"碎" 1
"碰" 1
"磕头" 1
"磨" 1
"礼拜" 1
"祷告" 1
"私" 1
"种子" 1
"称赞" 1
"究" 1
"窗户" 1
"站" 1
"竟是" 1
"端" 1
"第三日" 1
"第二日" 1
"第六十九回" 1
"等到" 1
"答" 1
"答应" 1
"算" 1
"算计" 1
"箱子" 1
"簪" 1
"粮" 1
"素日" 1
"红" 1
"约" 1
"纨" 1
"纳" 1
"纵" 1
"细说" 1
"终久" 1
"经脉" 1
"绕" 1
"绢" 1
"绸" 1
"编" 1
