"词语" "次数"
"了" 225
"的" 172
"我" 125
"宝玉" 116
"道" 116
"不" 115
"是" 105
"人" 96
"你" 89
"说" 82
"去" 75
"来" 72
"他" 67
"又" 66
"也" 64
"笑" 59
"有" 58
"袭" 56
"着" 47
"就" 46
"玉" 37
"一" 36
"这" 36
"只" 35
"黛" 34
"便" 33
"好" 32
"听" 28
"在" 28
"还" 28
"见" 27
"吃" 26
"香" 26
"再" 25
"问" 25
"上" 24
"那" 24
"呢" 23
"都" 23
"什么" 22
"忙" 22
"看" 22
"儿" 21
"之" 20
"叫" 19
"个" 18
"事" 18
"你们" 18
"子" 18
"耗" 18
"茗" 18
"一个" 17
"因" 17
"得" 17
"出" 16
"家" 16
"小" 16
"才" 16
"没" 16
"烟" 16
"自" 16
"要" 16
"他们" 15
"们" 15
"如今" 15
"将" 15
"想" 15
"知道" 15
"二" 14
"留" 14
"自己" 14
"下" 13
"与" 13
"大" 13
"怎么" 13
"花" 13
"倒" 12
"内" 12
"可" 12
"敢" 12
"等" 12
"里" 12
"一面" 11
"丫头" 11
"中" 11
"从" 11
"出来" 11
"命" 11
"坐" 11
"多" 11
"没有" 11
"话" 11
"贾" 11
"些" 10
"会" 10
"出去" 10
"和" 10
"往" 10
"房" 10
"更" 10
"母" 10
"比" 10
"罢" 10
"说道" 10
"谁" 10
"过" 10
"这些" 10
"这里" 10
"且" 9
"偷" 9
"别" 9
"别人" 9
"到" 9
"却" 9
"变" 9
"我们" 9
"或" 9
"用" 9
"给" 9
"赎" 9
"轿" 9
"送" 9
"为" 8
"作" 8
"咱们" 8
"嬷嬷" 8
"已" 8
"放" 8
"故" 8
"李" 8
"正" 8
"气" 8
"睡" 8
"芳" 8
"那里" 8
"闻" 8
"不能" 7
"依" 7
"前" 7
"后" 7
"回" 7
"时" 7
"栗子" 7
"混" 7
"爷" 7
"物" 7
"理" 7
"老" 7
"自然" 7
"芋" 7
"该" 7
"这个" 7
"酥" 7
"不过" 6
"两个" 6
"乃" 6
"人家" 6
"令" 6
"以" 6
"众" 6
"典" 6
"原" 6
"向" 6
"听见" 6
"喜" 6
"嘴" 6
"戏" 6
"拉" 6
"拿" 6
"接" 6
"方" 6
"无" 6
"替" 6
"果然" 6
"生" 6
"知" 6
"老太太" 6
"至" 6
"茶" 6
"起来" 6
"酪" 6
"闹" 6
"饶" 6
"不成" 5
"不知" 5
"东西" 5
"丫鬟" 5
"乱" 5
"今儿" 5
"住" 5
"偏" 5
"几年" 5
"取" 5
"只见" 5
"叹" 5
"各" 5
"回去" 5
"回来" 5
"因此" 5
"府" 5
"心" 5
"怕" 5
"成" 5
"打" 5
"把" 5
"推" 5
"最" 5
"毕" 5
"珍" 5
"真" 5
"瞧" 5
"穿" 5
"米" 5
"红" 5
"老爷" 5
"若" 5
"走" 5
"越发" 5
"这样" 5
"进" 5
"进来" 5
"连" 5
"那个" 5
"配" 5
"银子" 5
"难" 5
"顽" 5
"一件" 4
"一时" 4
"亲" 4
"今日" 4
"仍" 4
"令箭" 4
"兄" 4
"先" 4
"八" 4
"其" 4
"几个" 4
"凡" 4
"刚" 4
"卖" 4
"原来" 4
"另" 4
"告诉" 4
"哥哥" 4
"地方" 4
"头" 4
"奇" 4
"姐姐" 4
"完" 4
"定" 4
"宝" 4
"小姐" 4
"巧" 4
"干" 4
"弄" 4
"当" 4
"快" 4
"急" 4
"总" 4
"情" 4
"手" 4
"拔" 4
"换" 4
"摆" 4
"改" 4
"服侍" 4
"极" 4
"枕" 4
"果子" 4
"此" 4
"死" 4
"母亲" 4
"盖" 4
"眼" 4
"瞧瞧" 4
"神" 4
"管" 4
"美" 4
"虽" 4
"行" 4
"解" 4
"语" 4
"说话" 4
"读书" 4
"赌气" 4
"躺" 4
"那些" 4
"门" 4
"难道" 4
"马" 4
"骂" 4
"不必" 3
"不然" 3
"二则" 3
"亦" 3
"仗" 3
"代" 3
"众人" 3
"伸手" 3
"冷" 3
"冷笑" 3
"几两" 3
"别的" 3
"剥" 3
"剩" 3
"劝" 3
"只顾" 3
"名字" 3
"吹" 3
"唬" 3
"因为" 3
"复" 3
"奴才" 3
"妙" 3
"姊妹" 3
"字" 3
"希罕" 3
"带" 3
"年" 3
"并" 3
"床" 3
"引" 3
"待" 3
"心里" 3
"必" 3
"忽" 3
"怪" 3
"手帕" 3
"扬州" 3
"教" 3
"散" 3
"时候" 3
"暖" 3
"曾" 3
"未" 3
"枕头" 3
"果" 3
"果品" 3
"次" 3
"母子" 3
"求" 3
"洞" 3
"活" 3
"灰" 3
"炕" 3
"热闹" 3
"然后" 3
"病" 3
"白" 3
"看见" 3
"纵" 3
"而且" 3
"脏" 3
"衣" 3
"袖子" 3
"豆" 3
"赶" 3
"起" 3
"越" 3
"跟" 3
"过去" 3
"还要" 3
"这话" 3
"逛逛" 3
"遇见" 3
"那样" 3
