"词语" "次数"
"了" 92
"的" 70
"来" 56
"人" 53
"凤" 53
"姐" 51
"是" 41
"不" 35
"有" 34
"道" 34
"又" 30
"这" 28
"去" 26
"府" 26
"也" 24
"我" 24
"那" 23
"之" 22
"便" 21
"说" 21
"事" 19
"命" 19
"媳妇" 19
"王" 19
"着" 19
"都" 19
"在" 18
"见" 18
"他" 17
"你" 17
"儿" 17
"正" 17
"一" 16
"与" 16
"宝玉" 16
"牌" 16
"贾" 16
"得" 15
"要" 15
"孙" 14
"领" 14
"上" 13
"因" 13
"大" 13
"就" 13
"二" 12
"等" 12
"一面" 11
"下" 11
"中" 11
"你们" 11
"到" 11
"吃" 11
"宁" 11
"管" 11
"荣" 11
"请" 11
"轿" 11
"他们" 10
"只" 10
"听" 10
"坐" 10
"家" 10
"灵" 10
"笑" 10
"过" 10
"公" 9
"内" 9
"单" 9
"国" 9
"处" 9
"已" 9
"明" 9
"祭" 9
"至" 9
"车" 9
"众人" 8
"前" 8
"同" 8
"客" 8
"彩" 8
"往" 8
"或" 8
"执" 8
"每日" 8
"珍" 8
"茶" 8
"还" 8
"传" 7
"侯" 7
"再" 7
"十分" 7
"升" 7
"取" 7
"吩咐" 7
"回来" 7
"好" 7
"子" 7
"官" 7
"张" 7
"忙" 7
"打" 7
"早" 7
"时" 7
"昭" 7
"毕" 7
"进来" 7
"郡" 7
"问" 7
"一时" 6
"世袭" 6
"个" 6
"交" 6
"以" 6
"出" 6
"刻" 6
"叫" 6
"如今" 6
"宁国" 6
"帖" 6
"念" 6
"想" 6
"所" 6
"才" 6
"抱" 6
"按" 6
"方" 6
"日" 6
"水" 6
"溶" 6
"看" 6
"纸" 6
"诸" 6
"今日" 5
"众" 5
"作" 5
"兴" 5
"北" 5
"卯" 5
"只见" 5
"各" 5
"四个" 5
"回" 5
"带" 5
"并" 5
"我们" 5
"接" 5
"旺" 5
"未" 5
"林" 5
"棚" 5
"没" 5
"灯" 5
"男" 5
"登记" 5
"秦" 5
"而" 5
"自" 5
"自己" 5
"连忙" 5
"送" 5
"里" 5
"钟" 5
"一个" 4
"一等" 4
"且" 4
"两班" 4
"为" 4
"什么" 4
"会" 4
"做" 4
"僧" 4
"先" 4
"前面" 4
"厦" 4
"及" 4
"发" 4
"后" 4
"呢" 4
"咱们" 4
"因此" 4
"多" 4
"奶奶" 4
"完" 4
"宿" 4
"对" 4
"将" 4
"小" 4
"应" 4
"引" 4
"把" 4
"支取" 4
"收" 4
"材" 4
"某" 4
"氏" 4
"清" 4
"爷" 4
"现" 4
"生" 4
"睡" 4
"算" 4
"罢" 4
"者" 4
"脸" 4
"西" 4
"话" 4
"走" 4
"起" 4
"跟" 4
"迷" 4
"送殡" 4
"里面" 4
"长" 4
"难" 4
"静" 4
"一夜" 3
"不要" 3
"东" 3
"东西" 3
"丧" 3
"书" 3
"乱" 3
"二等" 3
"于" 3
"今" 3
"从" 3
"伺候" 3
"侍" 3
"供" 3
"倒" 3
"入" 3
"八个" 3
"公子" 3
"兼" 3
"出去" 3
"分" 3
"别的" 3
"劝" 3
"即" 3
