"词语" "次数"
"了" 207
"我" 120
"的" 114
"你" 103
"道" 93
"不" 87
"他" 73
"是" 67
"薛" 63
"又" 59
"去" 58
"说" 58
"也" 56
"贾" 55
"着" 50
"来" 48
"蟠" 43
"笑" 42
"湘" 41
"莲" 40
"便" 35
"人" 34
"这" 34
"就" 33
"一" 32
"有" 31
"只" 30
"母" 28
"儿" 27
"好" 25
"呢" 24
"要" 24
"在" 23
"忙" 22
"个" 21
"姨妈" 21
"还" 21
"钱" 20
"凤" 19
"叫" 19
"没" 19
"那" 19
"都" 19
"下" 18
"夫人" 18
"到" 17
"姐儿" 17
"牌" 17
"罢" 17
"见" 17
"上" 16
"听" 16
"和" 16
"走" 16
"得" 15
"倒" 14
"打" 14
"什么" 13
"柳" 13
"琏" 13
"那里" 13
"鸳鸯" 13
"出来" 12
"吃" 12
"坐" 12
"媳妇" 12
"子" 12
"小" 12
"想" 12
"等" 12
"老太太" 12
"赖" 12
"邢" 12
"马" 12
"些" 11
"再" 11
"可" 11
"家" 11
"已" 11
"知道" 11
"一面" 10
"先" 10
"宝玉" 10
"把" 10
"问" 10
"事" 9
"会" 9
"向" 9
"命" 9
"如今" 9
"心" 9
"请" 9
"过" 9
"酒" 9
"与" 8
"且" 8
"二" 8
"们" 8
"众人" 8
"几个" 8
"出" 8
"告诉" 8
"咱们" 8
"大" 8
"才" 8
"找" 8
"拉" 8
"拿" 8
"珍" 8
"自己" 8
"话" 8
"一个" 7
"两个" 7
"丫头" 7
"住" 7
"作" 7
"半日" 7
"发" 7
"太太" 7
"如此" 7
"小厮" 7
"平" 7
"往" 7
"怎么" 7
"放" 7
"时" 7
"死" 7
"生" 7
"用" 7
"老爷" 7
"至" 7
"蓉" 7
"这个" 7
"一声" 6
"不过" 6
"乱" 6
"你们" 6
"别" 6
"前" 6
"喝" 6
"回来" 6
"外头" 6
"头" 6
"并" 6
"快" 6
"恨" 6
"敢" 6
"既" 6
"早" 6
"替" 6
"王" 6
"瞧" 6
"站" 6
"该" 6
"谁" 6
"起" 6
"起来" 6
"跟" 6
"跟前" 6
"还要" 6
"连" 6
"门" 6
"一回" 5
"下来" 5
"不知" 5
"为" 5
"之" 5
"兄弟" 5
"内" 5
"劝" 5
"北" 5
"回" 5
"天天" 5
"妈" 5
"宝" 5
"尚" 5
"我们" 5
"斗" 5
"正" 5
"看" 5
"瞧瞧" 5
"知" 5
"荣" 5
"赢" 5
"过去" 5
"这样" 5
"这里" 5
"进去" 5
"里" 5
"错" 5
"一处" 4
"中" 4
"亏" 4
"他们" 4
"伏" 4
"出去" 4
"只得" 4
"只见" 4
"吊" 4
"坟" 4
"处" 4
"多" 4
"姨太太" 4
"孙子" 4
"带" 4
"弄" 4
"怕" 4
"手里" 4
"指" 4
"散" 4
"方" 4
"方才" 4
"无" 4
"添" 4
"生气" 4
"算命" 4
"给" 4
"背" 4
"苇" 4
"让" 4
"进来" 4
"送" 4
"酒后" 4
"里头" 4
"难" 4
"顽" 4
"饶" 4
"骂" 4
"一张" 3
"一般" 3
"一齐" 3
"不成" 3
"不见" 3
"串" 3
"事情" 3
"二家" 3
"今儿" 3
"从" 3
"似" 3
"使" 3
"侍" 3
"依" 3
"信" 3
"做" 3
"几下" 3
"几句" 3
"出门" 3
"别人" 3
"到底" 3
"动" 3
"原" 3
"及" 3
"听见" 3
"哟" 3
"哥哥" 3
"喜" 3
"嗳" 3
"嘴" 3
"器" 3
"回避" 3
"因" 3
"多少" 3
"大家" 3
"头儿" 3
"奶奶" 3
"如" 3
"子弟" 3
"完" 3
"将" 3
"尽" 3
"席" 3
"干" 3
"应" 3
"当" 3
"待" 3
"悄悄的" 3
"惧" 3
"愧" 3
"打发" 3
"打听" 3
"拴" 3
"撒" 3
"操心" 3
"放在" 3
"日" 3
"有人" 3
"桥" 3
"正要" 3
"气" 3
"没有" 3
"洗" 3
"滚" 3
"爱" 3
"爷" 3
"犹" 3
"由" 3
"病" 3
"眼" 3
"眼前" 3
"禁" 3
"空儿" 3
"竟" 3
"老人家" 3
"自" 3
"自然" 3
"虽" 3
"觉得" 3
"认" 3
"误认" 3
"说道" 3
"赶" 3
"起身" 3
"身上" 3
"轿子" 3
"过来" 3
"这话" 3
"进" 3
"连忙" 3
"遇见" 3
"醒" 3
"钗" 3
"一夜" 2
"一天" 2
"一定" 2
"一拳" 2
"一时" 2
"一次" 2
"下流" 2
"下马" 2
"不依" 2
"不便" 2
"不怕" 2
"不能" 2
"世家" 2
"东西" 2
"丢" 2
"丢开" 2
"个人" 2
"书房" 2
"买" 2
"乱叫" 2
"二则" 2
"二里" 2
"交" 2
"交给" 2
"亲" 2
"从没" 2
"仔细" 2
"令" 2
"以至" 2
"伤" 2
"作陪" 2
"使眼色" 2
"假" 2
"其" 2
"养" 2
"冲" 2
"况且" 2
"冷笑" 2
"凑" 2
"几年" 2
"几日" 2
"凡" 2
"凭" 2
"出气" 2
"十四" 2
"却" 2
"厅" 2
"去处" 2
"反" 2
"只管" 2
"可是" 2
"右" 2
"各处" 2
"各自" 2
"名" 2
"后" 2
"后悔" 2
"吩咐" 2
"告" 2
"哥" 2
"哼哼" 2
"嘱咐" 2
"四个" 2
"回去" 2
"回头" 2
"圈" 2
"坏" 2
"坑" 2
"埋伏" 2
"城外" 2
"壶" 2
"复" 2
"够" 2
"大事" 2
"大爷" 2
"大观园" 2
"奇" 2
"好歹" 2
"娘儿" 2
"婶" 2
"孩子" 2
"家里" 2
"容易" 2
"岂" 2
"左" 2
"已经" 2
"年纪" 2
"开" 2
"张" 2
"彩" 2
"很" 2
"心中" 2
"心疼" 2
"忍" 2
"忽" 2
"恍惚" 2
"意欲" 2
"戏" 2
"所以" 2
"手" 2
"打点" 2
"招" 2
"挣" 2
"挫" 2
"探" 2
"推" 2
"掷" 2
"收" 2
"数" 2
"新" 2
"无奈" 2
"春" 2
"有理" 2
"有的" 2
"未" 2
"果然" 2
"查" 2
"树上" 2
"正经人" 2
"此" 2
"比" 2
"毕" 2
"水" 2
"求" 2
"泥" 2
"渐渐" 2
"满" 2
"满眼" 2
"点子" 2
"烟" 2
"现在" 2
"留下" 2
"留心" 2
"疼" 2
"疼痛" 2
"白" 2
"百" 2
"直" 2
"看见" 2
"真" 2
"眼睛" 2
"睡" 2
"碍" 2
"神" 2
"离" 2
"种子" 2
"答应" 2
"算" 2
"糊涂" 2
"素日" 2
"纵" 2
"老祖宗" 2
"肿" 2
"能" 2
"脏" 2
"脸" 2
"脸上" 2
"脸面" 2
"花园" 2
"茗" 2
"茶" 2
"虽然" 2
"被" 2
"觉" 2
"誓" 2
"认得" 2
"请安" 2
"调情" 2
"赦" 2
"走走" 2
"赵" 2
"越" 2
"趣" 2
"身" 2
"轻" 2
"输" 2
"边" 2
"还有" 2
"这么" 2
"这些" 2
"迸" 2
"退" 2
"遍" 2
"遣" 2
"那个" 2
"那样" 2
"重" 2
"银子" 2
"铺" 2
"问道" 2
"闹" 2
